ticker,KZR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-06-21,18.3333
2018-06-22,0.2254
2018-06-25,-3.5975
2018-06-26,3.2653
2018-06-27,-2.7103
2018-06-28,-0.1741
2018-06-29,0.5814
2018-07-02,-0.2312
2018-07-03,-0.2897
2018-07-05,0.2324
2018-07-06,-0.2899
2018-07-09,0.0581
2018-07-10,1.3364
2018-07-11,-1.7774999999999999
2018-07-12,-3.6778
2018-07-13,-4.2424
2018-07-16,2.2152
2018-07-17,-1.4241
2018-07-18,4.6482
2018-07-19,-0.9604
2018-07-20,-2.2424
2018-07-23,-0.496
2018-07-24,-0.3115
2018-07-25,0.0
2018-07-26,-2.75
2018-07-27,-0.3856
2018-07-30,0.0
2018-07-31,5.2258
2018-08-01,-4.2305
2018-08-02,3.8411999999999997
2018-08-03,0.4932
2018-08-06,-0.0613
2018-08-07,-1.8416000000000001
2018-08-08,3.127
2018-08-09,-0.5458
2018-08-10,1.8293
2018-08-13,-3.5329
2018-08-14,3.6623
2018-08-15,-0.9281
2018-08-16,0.9368
2018-08-17,0.5988
2018-08-20,-1.7856999999999998
2018-08-21,2.1212
2018-08-22,-3.4421
2018-08-23,2.6429
2018-08-24,3.5928
2018-08-27,-0.578
2018-08-28,-0.2907
2018-08-29,0.1749
2018-08-30,2.1537
2018-08-31,-1.5954000000000002
2018-09-04,-1.3317999999999999
2018-09-05,-0.2347
2018-09-06,7.6471
2018-09-07,2.5137
2018-09-10,-1.8657
2018-09-11,4.5626999999999995
2018-09-12,7.3247
2018-09-13,-4.1626
2018-09-14,3.4848
2018-09-17,-3.1723
2018-09-18,0.9577
2018-09-19,-3.4448
2018-09-20,3.5677
2018-09-21,-1.9471
2018-09-24,3.9206
2018-09-25,0.343
2018-09-26,-2.7344
2018-09-27,3.6647
2018-09-28,3.6804
2018-10-01,-1.0743
2018-10-02,-2.9745
2018-10-03,-1.6545
2018-10-04,1.9297
2018-10-05,1.4563
2018-10-08,4.0191
2018-10-09,5.0138
2018-10-10,1.8835
2018-10-11,-5.8469
2018-10-12,2.1461
2018-10-15,4.962
2018-10-16,-3.2794
2018-10-17,2.9502
2018-10-18,7.485
2018-10-19,1.4723
2018-10-22,1.0196
2018-10-23,-4.2314
2018-10-24,-5.229
2018-10-25,3.6784
2018-10-26,3.4653
2018-10-29,-3.8676
2018-10-30,5.5164
2018-10-31,-2.7909
2018-11-01,-2.9519
2018-11-02,4.0
2018-11-05,-5.5288
2018-11-06,-2.5021
2018-11-07,0.0435
