ticker,PARF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-06,0.0
2000-01-11,0.0
2000-01-31,0.0
2000-02-03,1.6129
2000-02-14,-1.5873
2000-02-17,0.0
2000-02-24,0.0
2000-03-01,0.0
2000-03-07,0.0
2000-03-13,0.0
2000-03-15,3.2258
2000-03-20,-3.125
2000-03-21,3.2258
2000-03-27,0.0
2000-03-30,0.0
2000-03-31,0.0
2000-04-04,-3.125
2000-04-11,0.0
2000-04-13,2.3102
2000-04-17,3.2258
2000-04-25,-1.5625
2000-04-26,-0.7937
2000-04-27,2.4
2000-04-28,-3.9063
2000-05-01,0.0
2000-05-26,0.813
2000-05-30,-1.6129
2000-06-16,4.918
2000-07-03,0.0
2000-08-23,-12.1094
2000-08-28,-0.4444
2000-08-29,0.0
2000-08-31,-5.3571
2000-09-18,5.6604
2000-09-28,0.0
2000-11-27,0.0
2000-11-28,28.5714
2001-02-27,-11.1111
2001-03-08,0.0
2001-04-12,2.5641
2001-05-21,1.5625
2001-06-14,-1.5385
2001-07-02,-3.125
2001-07-05,29.0323
2001-11-07,-20.0
2001-12-28,9.375
2002-01-03,0.2857
2002-02-12,-0.2849
2002-02-19,5.7143
2002-02-25,-6.7568
2002-04-12,44.9704
2002-05-10,-4.0816
2002-05-16,-24.4681
2002-05-23,8.4507
2002-06-12,19.4805
2002-06-13,-13.0435
2002-06-17,10.0
2002-08-09,-12.5
2002-08-22,6.4935
2002-08-30,-6.8293
2002-09-03,4.9738
2002-09-09,-0.2494
2002-09-17,-4.0
2002-09-24,6.7708
2003-01-16,-14.6341
2003-01-22,0.0
2003-02-10,0.0
2003-03-10,2.8571
2003-03-13,-1.3889
2003-03-25,4.2254
2003-03-26,-5.4054
2003-05-08,2.3324
2003-06-06,27.6353
2003-06-12,-18.0804
2003-06-24,0.8174
2003-06-30,8.1081
2003-07-01,-2.5
2003-07-11,-5.1282
2003-08-01,1.0811
2003-08-05,0.2139
2003-08-15,6.7236
2003-08-19,25.0
2003-08-21,-18.8
2003-09-02,16.9951
2003-09-04,-1.0526
2003-09-09,-1.0638
2003-09-22,7.5269
2003-10-01,-1.0
2003-10-07,2.0202
2003-10-31,2.9703
2003-11-03,4.2308
2003-11-04,1.476
2003-11-06,9.0909
2003-11-14,0.0
2003-11-20,-1.6667
2003-11-26,-1.6949
2003-12-05,-3.4483
2003-12-09,4.4643
2003-12-11,-0.8547
2004-01-12,0.0
2004-02-03,-3.4483
2004-02-04,3.5714
2004-02-18,-6.8966
