ticker,OSG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-12-02,3.2812
2015-12-03,-3.177
2015-12-07,3.125
2015-12-08,0.0
2015-12-09,-1.5152
2015-12-10,0.0
2015-12-11,-4.0
2015-12-14,-0.641
2015-12-17,0.0
2015-12-18,-3.4839
2015-12-21,-2.5735
2015-12-22,1.8868
2015-12-23,0.3704
2015-12-24,3.321
2015-12-28,2.5
2015-12-29,2.439
2015-12-30,-3.4013999999999998
2015-12-31,-0.3521
2016-01-04,-4.5936
2016-01-05,1.1111
2016-01-06,-2.9304
2016-01-07,0.0
2016-01-08,0.0
2016-01-11,-1.8868
2016-01-12,2.6923
2016-01-13,-0.7491
2016-01-14,-1.8868
2016-01-15,-7.6923
2016-01-19,-2.0833
2016-01-20,-0.4255
2016-01-21,2.5641
2016-01-22,6.25
2016-01-25,-3.9215999999999998
2016-01-26,0.8163
2016-01-27,3.2389
2016-01-28,0.7843
2016-01-29,4.6693
2016-02-01,-1.1152
2016-02-02,-7.5188
2016-02-03,-1.2195
2016-02-04,-1.6461000000000001
2016-02-05,-0.4184
2016-02-08,-1.2605
2016-02-09,1.2766
2016-02-10,-2.1008
2016-02-11,-1.2876
2016-02-12,-2.1739
2016-02-16,-2.2222
2016-02-17,1.3636
2016-02-18,-1.7936999999999999
2016-02-19,0.4566
2016-02-22,-1.8182
2016-02-23,-4.6296
2016-02-24,1.4563
2016-02-25,3.8278
2016-02-26,-2.3041
2016-02-29,-6.6038
2016-03-01,6.0606
2016-03-02,0.0
2016-03-03,1.4285999999999999
2016-03-04,6.1033
2016-03-07,1.7699
2016-03-08,-1.7391
2016-03-09,2.6549
2016-03-10,-6.0345
2016-03-11,0.9174
2016-03-14,-3.6364
2016-03-15,9.434
2016-03-16,-2.1552
2016-03-17,-0.9132
2016-03-18,-6.9124
2016-03-21,3.9604
2016-03-22,-2.3810000000000002
2016-03-23,-4.878
2016-03-24,0.0
2016-03-28,2.5641
2016-03-29,-1.5
2016-03-30,0.0
2016-03-31,-4.5685
2016-04-01,6.383
2016-04-04,0.0
2016-04-05,-2.5
2016-04-06,1.5385
2016-04-07,-0.5051
2016-04-08,-2.5381
2016-04-11,1.5625
2016-04-12,2.0513
2016-04-13,5.5276
2016-04-14,-0.4762
2016-04-15,-2.3923
2016-04-18,1.4706000000000001
2016-04-19,3.3816
2016-04-20,2.3364
2016-04-21,-1.3699
2016-04-22,-1.8519
2016-04-25,-2.3585
2016-04-26,2.8986
2016-04-27,-2.3474
