ticker,XSPA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-07-28,-7.1174
2010-07-29,-2.2989
2010-07-30,-1.9607999999999999
2010-08-02,4.0
2010-08-03,-0.7692
2010-08-04,-6.9767
2010-08-05,2.0833
2010-08-06,-2.449
2010-08-09,-2.5105
2010-08-10,-8.5837
2010-08-11,0.4695
2010-08-12,21.4953
2010-08-13,-7.6923
2010-08-16,4.1667
2010-08-17,-8.0
2010-08-18,-15.2174
2010-08-19,-12.3077
2010-08-20,-17.5439
2010-08-23,24.8227
2010-08-24,-0.5682
2010-08-25,-2.8571
2010-08-26,-5.2941
2010-08-27,-6.8323
2010-08-30,0.6667
2010-08-31,-3.9735
2010-09-01,6.8966
2010-09-02,3.2258
2010-09-03,-0.0078
2010-09-07,-13.1182
2010-09-08,-10.0719
2010-09-09,36.0
2010-09-10,8.8235
2010-09-13,2.7027
2010-09-14,50.5263
2010-09-15,3.1469
2010-09-16,0.0
2010-09-17,-1.6949
2010-09-20,12.4095
2010-09-21,2.7647
2010-09-22,-1.4123
2010-09-23,-7.9536999999999995
2010-09-24,-2.3026
2010-09-27,1.0101
2010-09-28,3.0
2010-09-29,4.7249
2010-09-30,1.9778
2010-10-01,-6.0606
2010-10-04,-2.2580999999999998
2010-10-05,-3.9604
2010-10-06,-0.3436
2010-10-07,-4.1379
2010-10-08,9.7122
2010-10-11,-3.2787
2010-10-12,-2.7564
2010-10-13,-1.0
2010-10-14,2.1127
2010-10-15,-2.069
2010-10-18,3.169
2010-10-19,-6.1433
2010-10-20,-9.0909
2010-10-21,-12.0
2010-10-22,-4.0909
2010-10-25,-3.3175
2010-10-26,6.8627
2010-10-27,1.3761
2010-10-28,-4.9774
2010-10-29,7.1429
2010-11-01,-1.7778
2010-11-02,-6.3347999999999995
2010-11-03,5.5072
2010-11-04,9.4322
2010-11-05,4.6025
2010-11-08,-4.0
2010-11-09,0.0
2010-11-10,-2.0833
2010-11-11,-2.1277
2010-11-12,-4.3424
2010-11-15,-0.0114
2010-11-16,4.0968
2010-11-17,3.9301
2010-11-18,-0.0053
2010-11-19,-2.5159000000000002
2010-11-22,-3.4483
2010-11-23,-4.0234
2010-11-24,2.3257
2010-11-26,2.2785
2010-11-29,3.1111
2010-11-30,-0.8621
2010-12-01,0.875
2010-12-02,-0.8674
2010-12-03,-4.3533
2010-12-06,-1.358
2010-12-07,-4.1475
2010-12-08,2.4099
2010-12-09,-2.3531
2010-12-10,16.3462
2010-12-13,11.157
2010-12-14,-1.487
