ticker,RDUS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-06-06,0.125
2014-06-09,-0.1248
2014-06-10,0.0
2014-06-11,-0.25
2014-06-12,0.3759
2014-06-13,2.7466
2014-06-16,-1.0936
2014-06-17,0.4914
2014-06-18,5.1345
2014-06-19,2.093
2014-06-20,10.82
2014-06-23,2.6721
2014-06-24,5.8058
2014-06-25,0.2838
2014-06-26,-3.3019
2014-06-27,5.561
2014-06-30,20.1479
2014-07-01,27.9231
2014-07-02,-8.0577
2014-07-03,-1.1772
2014-07-07,-11.6479
2014-07-08,-13.633
2014-07-09,-4.9436
2014-07-10,-3.3759
2014-07-11,9.0652
2014-07-14,7.8788
2014-07-15,-2.5682
2014-07-16,7.5371
2014-07-17,-3.8682
2014-07-18,-3.9044
2014-07-21,-7.4627
2014-07-22,-5.4658999999999995
2014-07-23,-4.4899000000000004
2014-07-24,0.8305
2014-07-25,0.9843
2014-07-28,0.7797
2014-07-29,-7.6402
2014-07-30,-3.5602
2014-07-31,-3.1488
2014-08-01,-6.0538
2014-08-04,12.8878
2014-08-05,7.0825
2014-08-06,2.2705
2014-08-07,2.7027
2014-08-08,10.9962
2014-08-11,7.0279
2014-08-12,-1.1076
2014-08-13,-1.2
2014-08-14,1.7004000000000001
2014-08-15,4.7771
2014-08-18,1.4438
2014-08-19,0.2996
2014-08-20,3.1367
2014-08-21,-2.3172
2014-08-22,2.298
2014-08-25,1.2319
2014-08-26,0.2147
2014-08-27,0.0
2014-08-28,-4.3571
2014-08-29,2.1658
2014-09-02,8.6257
2014-09-03,-0.4038
2014-09-04,-1.9595
2014-09-05,1.4473
2014-09-08,8.5598
2014-09-09,-2.3154
2014-09-10,1.7936999999999999
2014-09-11,-2.3914
2014-09-12,-2.3211
2014-09-15,-7.3927
2014-09-16,6.0941
2014-09-17,-2.4521
2014-09-18,0.4821
2014-09-19,0.3427
2014-09-22,4.5082
2014-09-23,17.3203
2014-09-24,6.5181000000000004
2014-09-25,2.0921
2014-09-26,13.9344
2014-09-29,-3.6871
2014-09-30,-1.9607999999999999
2014-10-01,-8.857099999999999
2014-10-02,-1.6196000000000002
2014-10-03,5.1514
2014-10-06,1.5657
2014-10-07,1.7902
2014-10-08,13.874
2014-10-09,-0.858
2014-10-10,-10.4284
2014-10-13,-12.463799999999999
2014-10-14,-2.1523
2014-10-15,4.0609
2014-10-16,1.5718
2014-10-17,-3.0416
2014-10-20,2.9718999999999998
2014-10-21,1.8172000000000001
2014-10-22,-0.105
