ticker,CASH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,6.6667
2000-01-04,-4.1667
2000-01-05,-1.6303999999999998
2000-01-06,3.8674
2000-01-07,-4.2553
2000-01-10,1.1111
2000-01-11,-1.0989
2000-01-12,-1.1111
2000-01-13,0.0
2000-01-14,1.1236
2000-01-18,1.1111
2000-01-20,0.0
2000-01-21,0.0
2000-01-24,0.5495
2000-01-25,1.6393
2000-01-26,-2.1505
2000-01-27,1.0989
2000-01-28,-1.087
2000-02-01,2.1978
2000-02-02,-2.1505
2000-02-03,0.0
2000-02-04,0.0
2000-02-07,0.2747
2000-02-08,-0.8219
2000-02-09,-0.5525
2000-02-10,1.1111
2000-02-14,-3.2967
2000-02-15,2.8409
2000-02-16,0.0
2000-02-18,-1.6575
2000-02-22,0.0
2000-02-23,0.5618
2000-02-24,0.5587
2000-02-25,-0.5556
2000-02-28,-0.5587
2000-03-01,2.2472
2000-03-02,-1.6484
2000-03-03,2.7933
2000-03-06,-2.7174
2000-03-07,1.6760000000000002
2000-03-08,-2.1978
2000-03-09,0.0
2000-03-10,-1.1236
2000-03-13,-4.5
2000-03-14,-1.2048
2000-03-15,9.7561
2000-03-16,-10.5556
2000-03-17,1.8634
2000-03-20,2.439
2000-03-24,-1.1905000000000001
2000-03-27,2.4096
2000-03-28,-3.5294
2000-03-31,-1.2195
2000-04-03,0.0
2000-04-04,-1.2346
2000-04-05,-6.875
2000-04-06,11.4094
2000-04-07,-3.6145
2000-04-10,1.25
2000-04-12,-2.4691
2000-04-13,0.0
2000-04-14,11.3924
2000-04-17,-11.3636
2000-04-18,8.9744
2000-04-19,-5.8824
2000-04-20,0.625
2000-04-24,-0.6211
2000-04-25,2.5
2000-04-27,-6.7073
2000-04-28,-3.9215999999999998
2000-05-01,4.0816
2000-05-02,-1.9607999999999999
2000-05-03,-1.3333
2000-05-04,-1.3514
2000-05-05,10.9589
2000-05-10,-4.9383
2000-05-12,0.6494
2000-05-16,10.9677
2000-05-17,-6.9767
2000-05-18,0.0
2000-05-22,-1.875
2000-05-23,0.0
2000-06-02,0.0
2000-06-06,-0.6369
2000-06-07,0.1603
2000-06-09,0.48
2000-06-12,-0.6369
2000-06-13,-2.5128
2000-06-14,0.0
2000-06-15,-2.6667
2000-06-16,4.1096
2000-06-19,-7.2368
2000-06-20,7.0922
2000-06-26,0.6623
2000-06-27,-5.2632
2000-06-28,8.3333
2000-06-29,-5.1282
2000-07-05,7.4324
2000-07-07,-9.434
