ticker,BLKB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-07-22,6.875
2004-07-23,-0.117
2004-07-26,2.459
2004-07-27,-3.0857
2004-07-28,0.9434
2004-07-29,0.4673
2004-07-30,4.6512
2004-08-02,6.5556
2004-08-03,3.8582
2004-08-04,-4.1165
2004-08-05,-9.4241
2004-08-06,5.2023
2004-08-09,3.2967
2004-08-10,-1.7021
2004-08-11,-3.4632
2004-08-12,0.8969
2004-08-13,1.6667
2004-08-16,-1.2022
2004-08-17,3.3186
2004-08-18,-0.9636
2004-08-19,3.7838000000000003
2004-08-20,-3.8542
2004-08-23,-4.117
2004-08-24,1.6949
2004-08-25,1.6667
2004-08-26,7.6503
2004-08-27,4.8731
2004-08-30,-0.6776
2004-08-31,3.3138
2004-09-01,3.7736
2004-09-02,0.0909
2004-09-03,-0.0908
2004-09-07,7.7273
2004-09-08,-2.2785
2004-09-09,1.8998
2004-09-10,2.2797
2004-09-13,1.4997
2004-09-14,-3.3468999999999998
2004-09-15,-1.4358
2004-09-16,-5.6555
2004-09-17,1.0899
2004-09-20,-1.6173
2004-09-21,0.4566
2004-09-22,0.3636
2004-09-23,-0.4529
2004-09-24,-6.7334
2004-09-27,3.3171
2004-09-28,-2.4551
2004-09-29,-0.484
2004-09-30,-4.6693
2004-10-01,4.4898
2004-10-04,-0.1953
2004-10-05,4.4031
2004-10-06,1.1246
2004-10-07,-3.0584
2004-10-08,0.8604
2004-10-11,7.2038
2004-10-12,-5.4818999999999996
2004-10-13,0.3742
2004-10-14,-4.9394
2004-10-15,0.9804
2004-10-18,1.5534
2004-10-19,3.2505
2004-10-20,3.6111
2004-10-21,1.8767
2004-10-22,-2.7193
2004-10-25,1.9838
2004-10-26,1.6799
2004-10-27,2.4348
2004-10-28,5.2632
2004-10-29,0.3226
2004-11-01,-6.4309
2004-11-02,0.1804
2004-11-03,3.7647
2004-11-04,3.1405
2004-11-05,2.4038
2004-11-08,1.7214
2004-11-09,0.4615
2004-11-10,-0.3063
2004-11-11,10.6759
2004-11-12,-2.4983
2004-11-15,2.1352
2004-11-16,-5.4355
2004-11-17,0.2211
2004-11-18,0.7353
2004-11-19,-1.0219
2004-11-22,-1.6962000000000002
2004-11-23,-4.8762
2004-11-24,-0.2366
2004-11-26,-0.3953
2004-11-29,-1.9841
2004-11-30,1.2146
2004-12-01,-2.8
2004-12-02,9.9588
2004-12-03,-0.7485
2004-12-06,-1.0558
2004-12-07,-2.8201
2004-12-08,0.3922
2004-12-09,-0.625
