ticker,BGFV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-06-25,1.3077
2002-06-26,-0.8352
2002-06-27,0.7657
2002-06-28,8.5866
2002-07-01,-5.4584
2002-07-02,-10.4367
2002-07-03,12.8099
2002-07-05,2.1978
2002-07-08,-1.7921
2002-07-09,-2.9927
2002-07-10,-2.9345
2002-07-11,-6.5891
2002-07-12,3.7260999999999997
2002-07-15,-4.7924
2002-07-16,6.0504
2002-07-17,-3.7241999999999997
2002-07-18,-1.2346
2002-07-19,-1.3333
2002-07-22,-15.625
2002-07-23,5.2052
2002-07-24,0.8563
2002-07-25,0.4717
2002-07-26,1.2207
2002-07-29,-2.5974
2002-07-30,-2.8571
2002-07-31,-4.4118
2002-08-01,3.4872
2002-08-02,0.0991
2002-08-05,1.9802
2002-08-06,0.9709
2002-08-07,3.3654
2002-08-08,0.9302
2002-08-09,-2.1198
2002-08-12,0.2825
2002-08-13,-2.2535
2002-08-14,-0.0865
2002-08-15,4.8938
2002-08-16,2.6581
2002-08-19,7.1429
2002-08-20,2.0833
2002-08-21,-1.2245
2002-08-22,-4.4628
2002-08-23,6.0554
2002-08-26,-7.0147
2002-08-27,-4.9123
2002-08-28,0.5535
2002-08-29,10.9174
2002-08-30,-7.5269
2002-09-03,-0.7156
2002-09-04,-2.6126
2002-09-05,-0.9251
2002-09-06,1.3072
2002-09-09,-5.0691
2002-09-10,-2.4272
2002-09-11,0.4975
2002-09-12,-0.495
2002-09-13,-1.4925
2002-09-16,0.0
2002-09-17,-5.1515
2002-09-18,-3.0884
2002-09-19,-1.0989
2002-09-20,1.1111
2002-09-23,-1.0989
2002-09-24,-1.1111
2002-09-25,7.191
2002-09-26,1.6771
2002-09-27,3.9072
2002-09-30,1.6966
2002-10-01,-3.4146
2002-10-02,-3.5354
2002-10-03,-3.1414
2002-10-04,2.2702999999999998
2002-10-07,-7.5053
2002-10-08,-0.6857
2002-10-09,-1.0357
2002-10-10,5.814
2002-10-11,4.3956
2002-10-14,0.1053
2002-10-15,7.2555
2002-10-16,-2.451
2002-10-17,2.5126
2002-10-18,0.4902
2002-10-21,2.439
2002-10-22,-3.2762000000000002
2002-10-23,-2.0284
2002-10-24,3.7186
2002-10-25,0.2907
2002-10-28,6.087
2002-10-29,-3.4699
2002-10-30,1.1322
2002-10-31,10.1782
2002-11-01,0.1693
2002-11-04,1.437
2002-11-05,-1.9167
2002-11-06,0.8496
2002-11-07,0.2527
2002-11-08,-0.4958
2002-11-11,-3.8087999999999997
