ticker,ICHR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-12-09,8.5556
2016-12-12,6.8577
2016-12-13,1.8199
2016-12-14,-4.0452
2016-12-15,9.0196
2016-12-16,-1.6187
2016-12-19,0.1828
2016-12-20,-3.2847
2016-12-21,0.9434
2016-12-22,1.215
2016-12-23,-0.7387
2016-12-27,1.8605
2016-12-28,-1.9178
2016-12-29,-1.9553
2016-12-30,2.754
2017-01-03,6.7468
2017-01-04,13.3333
2017-01-05,0.9167
2017-01-06,-0.8327
2017-01-09,6.8702
2017-01-10,-4.2857
2017-01-11,2.6866
2017-01-12,4.5058
2017-01-13,-1.3908
2017-01-17,0.8463
2017-01-18,8.042
2017-01-19,0.3236
2017-01-20,2.4516
2017-01-23,-2.4559
2017-01-24,2.5178000000000003
2017-01-25,-1.1965
2017-01-26,-0.5099
2017-01-27,1.025
2017-01-30,-0.3171
2017-01-31,-1.7812000000000001
2017-02-01,1.2953000000000001
2017-02-02,5.8824
2017-02-03,1.4493
2017-02-06,-2.1429
2017-02-07,1.1557
2017-02-08,-0.4811
2017-02-09,0.9668
2017-02-10,1.9748999999999999
2017-02-13,-3.8731999999999998
2017-02-14,2.5641
2017-02-15,2.9762
2017-02-16,-0.9827
2017-02-17,0.8173
2017-02-21,0.3474
2017-02-22,2.5389
2017-02-23,-0.619
2017-02-24,0.0
2017-02-27,4.1336
2017-02-28,2.1751
2017-03-01,0.6919
2017-03-02,-2.537
2017-03-03,1.6269
2017-03-06,1.8677000000000001
2017-03-07,-1.6763
2017-03-08,-6.7128
2017-03-09,2.3415
2017-03-10,-3.404
2017-03-13,6.7591
2017-03-14,-1.461
2017-03-15,2.9654
2017-03-16,1.3333
2017-03-17,-0.2632
2017-03-20,0.4749
2017-03-21,-3.5189
2017-03-22,-0.7077
2017-03-23,-1.4803
2017-03-24,1.3912
2017-03-27,-1.9759
2017-03-28,0.28
2017-03-29,0.67
2017-03-30,4.7698
2017-03-31,4.9762
2017-04-03,-0.4034
2017-04-04,0.4051
2017-04-05,-6.5557
2017-04-06,4.911
2017-04-07,0.463
2017-04-10,-4.9667
2017-04-11,-1.1315
2017-04-12,-1.7984
2017-04-13,-4.8835
2017-04-17,0.2917
2017-04-18,1.6289
2017-04-19,4.4648
2017-04-20,2.1918
2017-04-21,-1.5550000000000002
2017-04-24,3.1046
2017-04-25,10.4068
2017-04-26,-2.488
2017-04-27,-4.8577
2017-04-28,0.0516
2017-05-01,0.6701
2017-05-02,0.9217
