ticker,SCPL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-05-03,-4.6875
2019-05-06,-2.8197
2019-05-07,1.2821
2019-05-08,2.1319
2019-05-09,1.1742
2019-05-10,-2.6435
2019-05-13,-3.9735
2019-05-14,3.2414
2019-05-15,2.5384
2019-05-16,4.0391
2019-05-17,-2.5673
2019-05-20,-3.1491
2019-05-21,1.3935
2019-05-22,1.1126
2019-05-23,0.1294
2019-05-24,1.9392
2019-05-28,-1.1414
2019-05-29,-0.898
2019-05-30,2.2654
2019-05-31,1.2658
2019-06-03,-3.75
2019-06-04,-2.6623
2019-06-05,2.4016
2019-06-06,0.456
2019-06-07,-1.6213
2019-06-10,-4.1529
2019-06-11,1.1692
2019-06-12,-6.0503
2019-06-13,-2.3155
2019-06-14,-0.3704
2019-06-17,1.1152
2019-06-18,3.0882
2019-06-19,-0.9986
2019-06-20,1.585
2019-06-21,2.2695
2019-06-24,-4.3689
2019-06-25,-2.1755
2019-06-26,1.4826
2019-06-27,0.1461
2019-06-28,0.0
2019-07-01,-2.0423
2019-07-02,-0.2234
2019-07-03,-0.3731
2019-07-05,-2.4718999999999998
2019-07-08,-5.53
2019-07-09,1.3008
2019-07-10,0.0
2019-07-11,-1.6854
2019-07-12,5.2245
2019-07-15,0.0776
2019-07-16,-1.2403
2019-07-17,-16.0126
2019-07-18,-3.3645
2019-07-19,2.1277
2019-07-22,-0.947
2019-07-23,1.434
2019-07-24,0.6598
2019-07-25,-1.779
2019-07-26,2.0972
2019-07-29,-2.4276
2019-07-30,-2.1053
2019-07-31,1.955
2019-08-01,4.0268
2019-08-02,-2.3963
2019-08-05,-1.6997
2019-08-06,-0.9606
2019-08-07,-0.097
2019-08-08,1.8447
2019-08-09,0.1907
2019-08-12,-4.5671
2019-08-13,0.7976
2019-08-14,-0.7913
2019-08-15,0.3988
2019-08-16,4.2701
2019-08-19,0.5714
2019-08-20,-1.3258
2019-08-21,1.7274
2019-08-22,-1.2264
2019-08-23,-5.6350999999999996
2019-08-26,1.3158
2019-08-27,1.4985
2019-08-28,-0.8858
2019-08-29,-1.5889
2019-08-30,-4.0363
2019-09-03,-3.9958
2019-09-04,2.6287000000000003
2019-09-05,4.8026
2019-09-06,5.3971
2019-09-09,9.7585
2019-09-10,3.9613
2019-09-11,-4.2337
2019-09-12,2.2104
2019-09-13,2.2491
2019-09-16,-0.846
2019-09-17,-1.1092
2019-09-18,-2.0708
2019-09-19,-4.0529
2019-09-20,0.0918
2019-09-23,0.0917
