ticker,ONCS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-10-05,42.8571
2010-10-08,30.0
2010-11-16,30.7692
2010-11-19,-11.7647
2011-02-03,33.3333
2011-02-04,10.0
2011-03-31,22009.0909
2011-04-01,0.0
2011-04-05,0.0
2011-04-07,0.0
2011-04-08,-0.6579
2011-04-13,0.6623
2011-04-14,1.3158
2011-04-15,0.6494
2011-04-18,-3.2258
2011-04-19,-10.0
2011-04-20,1.4815
2011-04-21,2.9196999999999997
2011-04-25,-4.2553
2011-04-26,11.1111
2011-04-27,3.3333
2011-04-28,-2.5806
2011-04-29,0.0
2011-05-02,2.649
2011-05-03,4.5161
2011-05-04,1.2346
2011-05-05,1.2195
2011-05-06,-4.8193
2011-05-09,5.0633
2011-05-10,0.6024
2011-05-11,1.1976
2011-05-12,4.142
2011-05-13,1.7045
2011-05-16,5.0279
2011-05-17,-10.1064
2011-05-18,-0.5917
2011-05-19,3.5714
2011-05-20,2.8736
2011-05-23,-4.4693
2011-05-24,-12.2807
2011-05-25,-13.3333
2011-05-26,0.0
2011-05-27,15.3846
2011-05-31,-1.3333
2011-06-01,-3.3784
2011-06-02,2.7972
2011-06-03,2.0408
2011-06-06,0.0
2011-06-07,0.0
2011-06-08,-1.3333
2011-06-09,2.027
2011-06-10,-1.3245
2011-06-13,0.0
2011-06-14,-7.3826
2011-06-15,-9.4203
2011-06-16,12.0
2011-06-17,-10.0
2011-06-20,0.7937
2011-06-21,-11.811
2011-06-22,-10.7143
2011-06-23,-14.0
2011-06-24,-10.4651
2011-06-27,3.8961
2011-06-28,23.75
2011-06-29,6.0606
2011-06-30,1.9048
2011-07-01,-4.6729
2011-07-05,-7.8431
2011-07-06,4.2553
2011-07-07,-1.0204
2011-07-08,-7.2165
2011-07-11,0.0
2011-07-12,-1.1111
2011-07-13,-1.1236
2011-07-14,12.5
2011-07-15,-6.0606
2011-07-18,-1.0753
2011-07-19,-2.1739
2011-07-20,3.3333
2011-07-21,7.5269
2011-07-22,-2.0
2011-07-25,-2.0408
2011-07-26,3.125
2011-07-27,-3.0303
2011-07-28,4.1667
2011-07-29,-7.0
2011-08-01,6.4516
2011-08-02,-4.0404
2011-08-03,-1.5789
2011-08-04,3.7433
2011-08-05,-4.1237
2011-08-08,-10.7527
2011-08-09,10.8434
2011-08-10,-3.2609
2011-08-11,-10.1124
2011-08-12,-6.25
2011-08-15,0.0
2011-08-16,-12.0
2011-08-17,18.0303
2011-08-18,-3.8510999999999997
