ticker,BNFT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-09-18,102.0755
2013-09-19,-6.0691
2013-09-20,1.2127
2013-09-23,-2.6321
2013-09-24,-3.2681
2013-09-25,-2.9823
2013-09-26,-3.3319
2013-09-27,7.7607
2013-09-30,1.4445000000000001
2013-10-01,-0.1221
2013-10-02,-0.1018
2013-10-03,-3.5474
2013-10-04,-5.3688
2013-10-07,-3.3951000000000002
2013-10-08,-8.2775
2013-10-09,-3.4283
2013-10-10,6.3169
2013-10-11,2.7744
2013-10-14,15.4324
2013-10-15,-1.5108000000000001
2013-10-16,3.1729
2013-10-17,-1.0794
2013-10-18,0.0618
2013-10-21,8.2099
2013-10-22,-3.0234
2013-10-23,-1.0784
2013-10-24,4.3211
2013-10-25,-0.057
2013-10-28,-0.6464
2013-10-29,1.2055
2013-10-30,-0.3214
2013-10-31,-4.9697
2013-11-01,-0.0399
2013-11-04,-3.4545
2013-11-05,-1.0962
2013-11-06,1.6939
2013-11-07,-4.8735
2013-11-08,0.0
2013-11-11,2.9615
2013-11-12,0.8608
2013-11-13,-1.1449
2013-11-14,-11.0128
2013-11-15,2.9342
2013-11-18,-7.1494
2013-11-19,-1.1389
2013-11-20,2.304
2013-11-21,-1.4198
2013-11-22,1.4154
2013-11-25,1.8854
2013-11-26,3.5808999999999997
2013-11-27,11.4849
2013-11-29,0.5411
2013-12-02,0.8073
2013-12-03,-4.5175
2013-12-04,-0.9247
2013-12-05,-0.7597
2013-12-06,5.5337
2013-12-09,-4.601
2013-12-10,0.8907
2013-12-11,2.6486
2013-12-12,8.2022
2013-12-13,5.6805
2013-12-16,6.5126
2013-12-17,-1.7568000000000001
2013-12-18,2.0337
2013-12-19,-6.1168
2013-12-20,4.7584
2013-12-23,1.9392
2013-12-24,0.3599
2013-12-26,-2.1687
2013-12-27,1.5884
2013-12-30,0.1718
2013-12-31,-0.9605
2014-01-02,-2.9269
2014-01-03,1.0883
2014-01-06,2.4709
2014-01-07,8.8185
2014-01-08,0.5223
2014-01-09,-2.2674
2014-01-10,4.1405
2014-01-13,-0.0928
2014-01-14,0.1858
2014-01-15,6.7233
2014-01-16,10.0652
2014-01-17,-2.1974
2014-01-21,-0.8072
2014-01-22,-2.1294
2014-01-23,-0.7761
2014-01-24,-5.0279
2014-01-27,-3.5
2014-01-28,0.8534
2014-01-29,-3.5963000000000003
2014-01-30,0.9718
2014-01-31,1.1332
2014-02-03,-3.8373
2014-02-04,4.9641
2014-02-05,1.1861
