ticker,ELCR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-06-25,0.0
2009-07-06,-2.0
2009-07-24,-4.7619
2009-07-27,0.0
2009-07-28,0.0
2009-08-25,-62.5
2009-08-26,13.3333
2009-08-27,0.0
2009-09-01,-11.7647
2009-09-02,0.0
2009-09-03,33.3333
2009-09-08,0.0
2009-09-11,-5.0
2009-09-14,-21.0526
2009-09-15,-33.3333
2009-09-16,-20.0
2009-09-17,-62.5
2009-09-18,33.3333
2009-09-21,25.0
2009-09-22,14.0
2009-09-23,-38.5965
2009-09-24,2.8571
2009-09-25,-2.7778
2009-09-28,-11.4286
2009-09-29,-3.2258
2009-09-30,33.3333
2009-10-01,-25.0
2009-10-02,33.3333
2009-10-05,-31.25
2009-10-07,12.7273
2009-10-08,0.0
2009-10-09,0.0
2009-10-12,12.9032
2009-10-13,-11.4286
2009-10-14,0.0
2009-10-15,-19.3548
2009-10-16,28.0
2009-10-19,0.0
2009-10-21,-17.1875
2009-10-22,13.2075
2009-10-23,83.3333
2009-10-26,-9.0909
2009-10-27,0.0
2009-10-28,0.0
2009-10-29,8.0
2009-10-30,-7.4074
2009-11-02,0.0
2009-11-03,0.0
2009-11-04,-20.0
2009-11-05,22.5
2009-11-06,27.551
2009-11-09,-21.6
2009-11-10,-18.3673
2009-11-11,0.0
2009-11-12,9.6875
2009-11-13,-8.8319
2009-11-16,0.0
2009-11-17,0.0
2009-11-18,10.0
2009-11-19,-9.0909
2009-11-20,10.0
2009-11-23,-9.0909
2009-11-24,-12.5
2009-11-25,-5.1786
2009-11-27,2.4482
2009-11-30,17.647100000000002
2009-12-01,0.0
2009-12-02,-12.5
2009-12-03,14.2857
2009-12-04,-12.5
2009-12-07,0.0
2009-12-08,-2.8571
2009-12-09,-11.7647
2009-12-10,13.3333
2009-12-11,-8.8235
2009-12-14,-3.2258
2009-12-15,-6.6667
2009-12-16,0.0
2009-12-17,-21.4286
2009-12-18,29.5455
2009-12-21,-28.0702
2009-12-22,21.9512
2009-12-23,20.0
2009-12-24,6.6667
2009-12-28,-6.25
2009-12-29,23.3333
2009-12-30,-16.2162
2009-12-31,-3.2258
2010-01-04,20.0
2010-01-05,11.1111
2010-01-06,-17.5
2010-01-07,-9.0909
2010-01-08,0.0
2010-01-11,0.0
2010-01-12,0.0
2010-01-13,0.0
2010-01-14,-7.9167
2010-01-15,0.0
2010-01-19,8.5973
2010-01-20,0.0
2010-01-21,-45.0
2010-01-22,-21.2121
2010-01-25,-23.0769
