ticker,SFIX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-11-17,1.0
2017-11-20,-1.9802
2017-11-21,6.3972999999999995
2017-11-22,9.8101
2017-11-24,7.3199
2017-11-27,23.9527
2017-11-28,-0.13
2017-11-29,-3.4273
2017-11-30,-9.973
2017-12-01,17.764499999999998
2017-12-04,1.8643999999999998
2017-12-05,-4.4509
2017-12-06,4.6582
2017-12-07,1.2479
2017-12-08,-3.0403000000000002
2017-12-11,1.6101999999999999
2017-12-12,-1.8349
2017-12-13,1.6143
2017-12-14,0.0418
2017-12-15,-2.4655
2017-12-18,2.1851
2017-12-19,3.8155
2017-12-20,-9.7738
2017-12-21,3.8048
2017-12-22,6.1665
2017-12-26,18.3591
2017-12-27,-1.51
2017-12-28,-6.1672
2017-12-29,-4.0847
2018-01-02,-4.1038
2018-01-03,-0.5652
2018-01-04,2.9638999999999998
2018-01-05,1.6167
2018-01-08,2.7163
2018-01-09,-4.7600999999999996
2018-01-10,0.714
2018-01-11,-0.9453
2018-01-12,-0.0398
2018-01-16,-9.3079
2018-01-17,-5.7018
2018-01-18,-3.7209
2018-01-19,0.0
2018-01-22,2.7053000000000003
2018-01-23,-0.5174
2018-01-24,-1.3712
2018-01-25,0.6711
2018-01-26,3.3333
2018-01-29,-3.1797
2018-01-30,-4.8548
2018-01-31,3.4017
2018-02-01,-2.2254
2018-02-02,-0.6927
2018-02-05,-3.438
2018-02-06,5.4696
2018-02-07,2.4462
2018-02-08,-4.2501999999999995
2018-02-09,-2.4439
2018-02-12,2.9141
2018-02-13,-0.6458
2018-02-14,5.25
2018-02-15,-1.0926
2018-02-16,-2.4976
2018-02-20,-1.8227
2018-02-21,-3.7632
2018-02-22,0.3128
2018-02-23,1.2993999999999999
2018-02-26,0.8209
2018-02-27,1.7812000000000001
2018-02-28,3.5
2018-03-01,-2.1739
2018-03-02,7.4568
2018-03-05,13.511
2018-03-06,3.4818
2018-03-07,-9.2332
2018-03-08,-0.7328
2018-03-09,-1.9973999999999998
2018-03-12,6.8675
2018-03-13,-3.607
2018-03-14,-6.4516
2018-03-15,-3.9539999999999997
2018-03-16,-2.3456
2018-03-19,-2.3039
2018-03-20,1.6558000000000002
2018-03-21,0.4936
2018-03-22,2.1611
2018-03-23,6.8269
2018-03-26,-4.2304
2018-03-27,-1.3628
2018-03-28,-1.0005
2018-03-29,-2.4062
2018-04-02,-0.9369
2018-04-03,2.9368
2018-04-04,2.2727
2018-04-05,0.8038
2018-04-06,2.7674
