ticker,VRM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-06-09,117.7273
2020-06-10,4.3633
2020-06-11,-8.7818
2020-06-12,-5.636
2020-06-15,-0.0697
2020-06-16,-2.093
2020-06-17,2.9929
2020-06-18,5.0738
2020-06-19,4.2801
2020-06-22,6.4407
2020-06-23,-0.1582
2020-06-24,-5.5457
2020-06-25,20.6542
2020-06-26,-5.9784
2020-06-29,1.6821000000000002
2020-06-30,-5.2172
2020-07-01,3.9317
2020-07-02,0.203
2020-07-06,2.8361
2020-07-07,-6.6619
2020-07-08,-3.6071
2020-07-09,-2.5677
2020-07-10,0.6333
2020-07-13,-8.7698
2020-07-14,-1.6689
2020-07-15,5.6574
2020-07-16,-5.6757
2020-07-17,6.04
2020-07-20,6.3597
2020-07-21,-1.9327999999999999
2020-07-22,0.6364
2020-07-23,2.448
2020-07-24,-2.4293
2020-07-27,3.3673
2020-07-28,-0.7305
2020-07-29,9.3874
2020-07-30,2.2182
2020-07-31,5.2828
