ticker,ESBS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-12-10,2.7907
2004-12-15,-4.9774
2004-12-17,4.7619
2004-12-27,-2.2727
2005-01-05,-7.907
2005-01-06,0.0
2005-01-07,1.5152
2005-01-14,-1.4925
2005-02-08,1.0101
2005-02-10,-1.0
2005-02-14,0.0
2005-02-23,1.0101
2005-03-04,5.0
2005-03-22,-6.1905
2005-04-05,0.0
2005-04-14,4.0609
2005-04-15,-3.9024
2005-04-18,-1.5228000000000002
2005-04-19,-4.6392
2005-04-20,0.0
2005-04-21,-2.1622
2005-04-22,2.2099
2005-04-26,-2.1622
2005-04-27,2.2099
2005-04-29,0.0
2005-05-02,4.3243
2005-05-06,-3.1088
2005-05-10,-2.1390000000000002
2005-05-11,2.1858
2005-05-12,0.0
2005-05-17,0.0
2005-05-18,1.6042999999999998
2005-05-23,-1.5789
2005-06-23,-1.0695000000000001
2005-07-15,7.027
2005-07-27,-5.0505
2005-08-09,0.0
2005-08-10,0.0
2005-08-12,1.0638
2005-08-23,0.0
2005-08-30,-0.5263
2005-09-07,0.0
2005-09-15,1.0582
2005-09-30,0.0
2005-10-24,0.0
2005-10-27,1.0471
2005-10-31,-1.0363
2005-11-03,2.0942
2005-11-04,0.0
2005-11-07,-2.0513
2005-11-08,0.0
2005-11-11,0.0
2005-11-17,-0.5236
2005-11-21,0.5263
2005-11-22,0.0
2005-12-02,0.0
2005-12-05,2.6178
2005-12-09,0.0
2005-12-12,2.0408
2005-12-21,0.1
2005-12-22,4.8951
2005-12-30,0.0
2006-01-06,-4.0
2006-01-10,1.6865
2006-01-12,0.0
2006-01-18,-1.9512
2006-01-19,1.99
2006-01-25,-1.4634
2006-01-26,0.0
2006-02-15,-0.9901
2006-02-21,-1.0
2006-03-01,-4.0404
2006-03-08,-5.7895
2006-03-09,-2.2346
2006-03-10,-2.8571
2006-03-14,5.8824
2006-03-20,0.0
2006-03-21,3.8889
2006-03-22,-6.4171
2006-03-23,0.0
2006-04-12,0.0
2006-04-19,-2.2857
2006-04-21,0.5848
2006-04-28,0.0
2006-05-02,0.5814
2006-05-03,4.0462
2006-05-17,0.0
2006-05-19,10.0
2006-05-22,-4.0404
2006-05-26,-5.2632
2006-06-05,5.5556
2006-06-09,0.0
2006-06-12,0.0
2006-06-13,0.0
2006-06-14,0.0
2006-06-23,0.5263
2006-06-27,-0.5236
2006-07-07,-2.6316
2006-07-17,0.0
2006-07-18,-1.0811
2006-07-26,3.8251
2006-07-28,-3.6842
