ticker,WBT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-02-19,-3.4646
2016-02-22,3.5888999999999998
2016-02-23,1.7323
2016-02-24,-3.3282
2016-02-25,-1.9215
2016-02-26,2.0408
2016-02-29,-0.8
2016-03-02,2.8226
2016-03-03,4.7843
2016-03-04,3.2934
2016-03-07,5.4348
2016-03-08,1.7182
2016-03-09,-4.2568
2016-03-10,-0.2117
2016-03-11,3.3239
2016-03-14,0.4107
2016-03-15,-4.7035
2016-03-16,3.5765000000000002
2016-03-17,2.9696
2016-03-18,0.4695
2016-03-21,0.9346
2016-03-22,-0.8598
2016-03-23,-4.6698
2016-03-24,-1.5394999999999999
2016-03-28,1.6347
2016-03-29,1.6084
2016-03-30,3.2347
2016-03-31,-1.7332999999999998
2016-04-01,-0.9498
2016-04-04,-1.5068000000000001
2016-04-05,-2.1558
2016-04-06,0.995
2016-04-07,1.4075
2016-04-08,4.2332
2016-04-11,1.2650000000000001
2016-04-12,-1.5122
2016-04-13,4.3391
2016-04-14,2.9431000000000003
2016-04-15,1.9888
2016-04-18,-0.2438
2016-04-19,0.1833
2016-04-20,-7.439
2016-04-21,1.9763
2016-04-22,-0.1938
2016-04-25,0.6472
2016-04-26,0.1286
2016-04-27,-1.0276
2016-04-28,-3.1149
2016-04-29,0.5358
2016-05-02,0.9327
2016-05-03,-0.7921
2016-05-04,-1.1976
2016-05-05,0.3367
2016-05-06,-0.604
2016-05-09,2.3633
2016-05-10,4.0897
2016-05-11,-1.5209000000000001
2016-05-12,1.6088
2016-05-13,-0.4433
2016-05-16,0.2545
2016-05-17,1.6497000000000002
2016-05-18,0.1248
2016-05-19,-2.2444
2016-05-20,-0.0638
2016-05-23,-0.1914
2016-05-24,0.3197
2016-05-25,2.8043
2016-05-26,-0.806
2016-05-27,2.0625
2016-05-31,0.8573
2016-06-01,-4.1894
2016-06-02,1.4575
2016-06-03,0.812
2016-06-06,4.8947
2016-06-07,1.9492
2016-06-08,0.0579
2016-06-09,-1.1002
2016-06-10,1.171
2016-06-13,-0.6366
2016-06-14,-2.5044
2016-06-15,0.0597
2016-06-16,-1.1343
2016-06-17,1.6303999999999998
2016-06-20,1.9607999999999999
2016-06-21,0.5245
2016-06-22,0.8116
2016-06-23,1.0351
2016-06-24,-3.1873
2016-06-27,-5.2322
2016-06-28,2.6675
2016-06-29,1.571
2016-06-30,4.8186
2016-07-01,-0.7378
2016-07-05,-2.5157
2016-07-06,0.4106
2016-07-07,0.7593
2016-07-08,-2.3188
