ticker,DMLP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-02-04,-5.625
2003-02-05,-5.298
2003-02-06,-9.0909
2003-02-07,3.3077
2003-02-10,1.4222000000000001
2003-02-11,0.7268
2003-02-12,0.2187
2003-02-13,4.2182
2003-02-14,-0.6978
2003-02-18,-2.6704
2003-02-19,-1.2995999999999999
2003-02-20,3.1456
2003-02-21,1.5603
2003-02-24,3.2821
2003-02-25,-1.217
2003-02-26,2.6694
2003-02-27,-0.2667
2003-02-28,-1.738
2003-03-03,-1.2245
2003-03-04,0.6198
2003-03-05,2.3956
2003-03-06,-1.0695000000000001
2003-03-07,0.0
2003-03-10,0.6757
2003-03-11,0.604
2003-03-12,-2.2682
2003-03-13,-1.0239
2003-03-14,-0.5517
2003-03-17,-0.0693
2003-03-18,0.2082
2003-03-19,0.4155
2003-03-20,-1.7241
2003-03-21,-0.1404
2003-03-24,-0.6325
2003-03-25,1.4851
2003-03-26,-3.1359
2003-03-27,0.0
2003-03-28,0.7194
2003-03-31,2.5
2003-04-01,-0.3484
2003-04-02,0.0
2003-04-03,0.0
2003-04-04,2.0979
2003-04-07,0.6849
2003-04-08,-2.0408
2003-04-09,2.1528
2003-04-10,1.9714
2003-04-11,-0.0667
2003-04-14,0.6671
2003-04-15,0.729
2003-04-16,-1.1842
2003-04-17,1.5312999999999999
2003-04-21,2.2951
2003-04-22,-0.3205
2003-04-23,-2.3151
2003-04-24,0.3718
2003-04-25,1.3963
2003-04-28,0.6557
2003-04-29,0.3257
2003-04-30,0.7792
2003-05-01,3.2088
2003-05-02,2.3848
2003-05-05,-4.3902
2003-05-06,1.7219
2003-05-07,-0.3135
2003-05-08,0.8176
2003-05-09,0.1248
2003-05-12,1.1215
2003-05-13,-0.801
2003-05-14,1.8634
2003-05-15,0.061
2003-05-16,0.1828
2003-05-19,0.4258
2003-05-20,1.5142
2003-05-21,0.537
2003-05-22,1.7804
2003-05-23,0.8805
2003-05-27,1.1502
2003-05-28,0.3371
2003-05-29,1.1447
2003-05-30,1.3514
2003-06-02,0.7167
2003-06-03,-0.7667
2003-06-04,0.2779
2003-06-05,-0.1109
2003-06-06,5.3829
2003-06-09,-0.5793
2003-06-10,0.6356
2003-06-11,-4.7368
2003-06-12,-1.8232
2003-06-13,-2.3073
2003-06-16,1.0945
2003-06-17,-1.1396
2003-06-18,3.9827
2003-06-19,-2.3336
2003-06-20,1.8784999999999998
2003-06-23,1.2757
2003-06-24,-0.6601
2003-06-25,0.7752
