ticker,GNCA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-02-05,-8.3333
2014-02-06,0.0
2014-02-07,0.3636
2014-02-10,3.1703
2014-02-11,0.0
2014-02-12,3.3363
2014-02-13,-1.5293
2014-02-14,-0.8197
2014-02-18,4.3062000000000005
2014-02-19,0.9174
2014-02-20,0.0
2014-02-21,-0.4132
2014-02-24,4.0664
2014-02-25,21.0526
2014-02-26,-1.1858
2014-02-27,0.0
2014-02-28,-2.2
2014-03-03,2.2495
2014-03-04,-0.5
2014-03-05,9.6817
2014-03-06,11.2401
2014-03-07,23.2839
2014-03-10,-2.5835
2014-03-11,-9.6022
2014-03-12,-8.1437
2014-03-13,1.8172000000000001
2014-03-14,-4.7593
2014-03-17,-3.6343
2014-03-18,0.1768
2014-03-19,0.1765
2014-03-20,-0.3523
2014-03-21,-3.4767
2014-03-24,3.4188
2014-03-25,-0.3542
2014-03-26,-0.9479
2014-03-27,4.1866
2014-03-28,-0.3444
2014-03-31,4.7811
2014-04-01,0.7697
2014-04-02,-2.4004
2014-04-03,0.4472
2014-04-04,-0.5565
2014-04-07,0.1119
2014-04-08,1.2297
2014-04-09,6.571
2014-04-10,3.5233
2014-04-11,3.003
2014-04-14,-9.4752
2014-04-15,-3.5427
2014-04-16,-0.5008
2014-04-17,4.1387
2014-04-21,1.5575
2014-04-22,5.394
2014-04-23,-5.0176
2014-04-24,0.0528
2014-04-25,-5.1742
2014-04-28,5.0668
2014-04-29,0.6359
2014-04-30,2.159
2014-05-01,-1.5979
2014-05-02,-1.0477
2014-05-05,2.9116
2014-05-06,-3.2922000000000002
2014-05-07,0.9043
2014-05-08,-2.6885
2014-05-09,-0.9751
2014-05-12,3.5011
2014-05-13,-1.4271
2014-05-14,-1.126
2014-05-15,-4.7722
2014-05-16,2.8474
2014-05-19,4.0421
2014-05-20,-1.4369
2014-05-21,1.5659
2014-05-22,-0.0532
2014-05-23,0.5319
2014-05-27,0.5291
2014-05-28,-0.2632
2014-05-29,-0.1583
2014-05-30,0.2114
2014-06-02,-0.6329
2014-06-03,-0.1592
2014-06-04,1.0101
2014-06-05,-1.1579
2014-06-06,0.5325
2014-06-09,0.5826
2014-06-10,-0.158
2014-06-11,0.1582
2014-06-12,0.4739
2014-06-13,-1.4151
2014-06-16,0.3721
2014-06-17,0.4237
2014-06-18,-0.3165
2014-06-19,10.4762
2014-06-20,8.7165
2014-06-23,-2.9515000000000002
2014-06-24,-5.7195
2014-06-25,-7.7516
2014-06-26,1.0438
