ticker,KHZM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-05-27,25.0
2009-07-01,6.9333
2009-07-07,3.2419000000000002
2009-07-08,8.6957
2009-07-09,26.6667
2009-07-10,-7.8947
2009-07-13,2.8571
2009-07-17,0.5556
2009-07-20,1.105
2009-07-30,-1.0929
2009-08-03,2.2099
2009-08-11,0.0
2009-08-14,0.0
2009-08-19,2.1622
2009-08-20,-4.7619
2009-09-01,-13.8889
2009-09-02,-12.9032
2009-09-04,11.1111
2009-09-15,13.3333
2009-09-18,-5.8824
2009-09-21,0.0
2009-09-22,9.375
2009-09-23,11.4286
2009-09-24,-23.0769
2009-10-14,3.3333
2009-10-28,-6.4516
2009-10-29,-6.8966
2009-11-02,7.4074
2009-11-04,-10.3448
2009-11-05,-3.8462
2009-11-18,4.0
2009-11-24,-23.0769
2009-11-25,-50.0
2009-12-03,-20.0
2009-12-08,25.0
2009-12-17,-20.0
2009-12-18,12.5
2009-12-24,0.0
2009-12-30,-11.1111
2009-12-31,260.0
2010-01-04,0.0
2010-01-05,4.1667
2010-01-06,0.0
2010-01-25,-66.6667
2010-01-26,40.0
2010-02-02,7.1429
2010-02-03,0.0
2010-02-05,-13.3333
2010-02-09,7.6923
2010-02-11,-7.1429
2010-02-12,0.0
2010-02-16,0.0
2010-02-17,61.5385
2010-02-18,42.8571
2010-02-19,30.0
2010-02-22,0.0
2010-02-23,-23.0769
2010-02-24,30.0
2010-02-25,-7.6923
2010-02-26,8.3333
2010-03-01,0.0
2010-03-03,5.1282
2010-03-04,2.439
2010-03-05,0.0
2010-03-10,-23.8095
2010-03-11,30.625
2010-03-12,-4.3062000000000005
2010-03-17,0.0
2010-03-22,-20.0
2010-03-23,0.0
2010-03-24,0.0
2010-03-25,-6.25
2010-03-26,3.3333
2010-03-31,29.0323
2010-04-01,-17.5
2010-04-05,6.0606
2010-04-09,-8.5714
2010-04-13,12.5
2010-04-14,-16.6667
2010-04-15,13.3333
2010-04-16,2.9412000000000003
2010-04-19,-2.8571
2010-04-20,-13.5294
2010-04-21,2.0408
2010-04-22,-14.0
2010-04-23,16.2791
2010-04-26,-56.6667
2010-04-27,15.3846
2010-04-28,-13.3333
2010-04-29,-15.3846
2010-04-30,-7.2727
2010-05-03,15.6863
2010-05-04,-15.2542
2010-05-05,0.0
2010-05-06,-10.0
2010-05-10,-2.2222
2010-05-11,-2.2727
2010-05-13,-4.6512
2010-05-17,31.7073
2010-05-19,18.5185
2010-05-20,-6.25
