ticker,OTTW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-07-18,-4.5455
2005-07-19,-2.8571
2005-07-20,2.9412000000000003
2005-07-21,0.0
2005-07-22,-2.3810000000000002
2005-07-27,4.0
2005-07-29,-1.5009000000000001
2005-08-01,-0.9524
2005-08-02,-0.9615
2005-08-03,2.9126
2005-08-09,0.0
2005-08-10,-0.9434
2005-08-11,1.9048
2005-08-17,-1.4019
2005-08-18,-0.3791
2005-08-24,0.3806
2005-08-26,0.4739
2005-08-29,-0.4717
2005-09-01,0.0
2005-09-02,0.9479
2005-09-06,-0.939
2005-09-07,0.0
2005-09-08,0.0
2005-09-09,0.4739
2005-09-12,0.0
2005-09-14,0.0
2005-09-16,0.0
2005-09-19,-0.4717
2005-09-21,0.0
2005-09-22,-0.9479
2005-09-23,0.4785
2005-09-27,2.3810000000000002
2005-09-28,0.0
2005-10-03,1.3953
2005-10-05,-1.8349
2005-10-06,2.8037
2005-10-07,-2.2727
2005-10-10,-1.2093
2005-10-11,-3.484
2005-10-13,-4.878
2005-10-14,0.0
2005-10-18,2.0513
2005-10-24,7.5377
2005-10-25,-0.4673
2005-10-26,0.0
2005-10-31,-3.7559
2005-11-03,-0.4878
2005-11-04,0.0
2005-11-08,0.4902
2005-11-16,2.439
2005-11-17,0.0
2005-11-29,0.4762
2005-11-30,-2.8436
2005-12-01,0.0
2005-12-02,0.0
2005-12-09,0.4878
2005-12-12,-0.4854
2005-12-19,0.4878
2005-12-27,1.9417
2006-01-09,0.0
2006-01-23,4.7619
2006-01-24,-4.5455
2006-01-26,0.0952
2006-02-02,4.5671
2006-02-10,-4.3676
2006-02-13,-0.0951
2006-03-03,2.8708
2006-03-10,-2.2326
2006-03-14,0.0
2006-03-15,-0.0951
2006-03-17,2.3810000000000002
2006-03-20,0.0
2006-03-22,4.6512
2006-03-28,1.3333
2006-03-29,0.8772
2006-04-05,0.0
2006-04-18,0.0
2006-04-21,2.1739
2006-04-24,0.0
2006-04-26,0.0
2006-04-28,0.0
2006-05-02,1.7021
2006-05-16,-0.8368
2006-05-18,-1.6878
2006-05-23,2.7468
2006-05-31,-1.4202
2006-06-08,2.1277
2006-06-13,-4.5833
2006-06-15,0.4367
2006-06-20,-0.4348
2006-06-21,2.6201
2006-06-23,2.1277
2006-06-26,0.0
2006-06-29,2.0833
2006-07-05,-5.7143
2006-08-03,0.4329
2006-08-04,-0.0862
2006-09-06,0.9532
2006-09-08,3.0043
2006-09-11,-0.8333
2006-09-18,2.1008
