ticker,UROV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-09-27,-16.7857
2018-09-28,3.0043
2018-10-01,-0.4167
2018-10-02,6.6946
2018-10-03,1.9607999999999999
2018-10-04,7.5385
2018-10-05,-3.5765000000000002
2018-10-08,-3.3383
2018-10-09,-2.3024
2018-10-10,6.2058
2018-10-11,-0.2219
2018-10-12,0.6672
2018-10-15,0.5155
2018-10-16,2.5641
2018-10-17,-7.9286
2018-10-18,-5.4306
2018-10-19,4.0197
2018-10-22,-0.7886
2018-10-23,-0.7949
2018-10-24,-0.4006
2018-10-25,-8.4473
2018-10-26,-2.9877000000000002
2018-10-29,-8.2428
2018-10-30,-2.7641
2018-10-31,2.0305
2018-11-01,-6.4677
2018-11-02,-2.3404
2018-11-05,-6.3181
2018-11-06,-1.8605
2018-11-07,-0.4739
2018-11-08,0.5952
2018-11-09,-8.8757
2018-11-12,1.6883
2018-11-13,-5.364
2018-11-14,-2.4291
2018-11-15,3.0429
2018-11-16,0.4027
2018-11-19,4.4118
2018-11-20,1.9205999999999999
2018-11-21,0.6281
2018-11-23,3.6205
2018-11-26,0.0
2018-11-27,0.0
2018-11-28,-2.4096
2018-11-29,-0.1235
2018-11-30,2.1014
2018-12-03,-1.937
2018-12-04,-3.2099
2018-12-06,-11.352
2018-12-07,-2.1583
2018-12-10,-4.4118
2018-12-11,-0.9231
2018-12-12,-3.882
2018-12-13,-3.0695
2018-12-14,0.0
2018-12-17,-8.1667
2018-12-18,-2.7223
2018-12-19,2.0522
2018-12-20,-5.3016
2018-12-21,-17.1815
2018-12-24,21.4452
2018-12-26,0.5758
2018-12-27,10.687
2018-12-28,7.931
2018-12-31,5.2716
2019-01-02,6.2215
2019-01-03,-1.8571
2019-01-04,0.1456
2019-01-07,6.686
2019-01-08,-5.3134
2019-01-09,4.0288
2019-01-10,-1.5213999999999999
2019-01-11,16.3624
2019-01-14,7.1817
2019-01-15,2.2523
2019-01-16,6.4978
2019-01-17,-6.3082
2019-01-18,-4.9669
2019-01-22,5.1103
2019-01-23,-6.1878
2019-01-24,6.2426
2019-01-25,-4.4346
2019-01-28,2.7842000000000002
2019-01-29,2.4831
2019-01-30,2.0925
2019-01-31,-5.2859
2019-02-01,1.3667
2019-02-04,0.0
2019-02-05,-0.5618
2019-02-06,0.113
2019-02-07,2.0316
2019-02-08,4.646
2019-02-11,-4.2283
2019-02-12,-0.2208
2019-02-13,0.4425
2019-02-14,15.6388
2019-02-15,-1.4285999999999999
2019-02-19,4.3478
