ticker,XAN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-02-07,-6.6667
2006-02-08,0.0
2006-02-09,1.5714000000000001
2006-02-10,0.2813
2006-02-13,0.0701
2006-02-14,2.2425
2006-02-15,-0.9596
2006-02-16,0.692
2006-02-17,-0.3436
2006-02-21,0.8276
2006-02-22,-1.5732
2006-02-23,-2.0153
2006-02-24,0.3546
2006-02-27,1.4134
2006-02-28,1.0453
2006-03-01,0.4138
2006-03-02,-0.4121
2006-03-03,-0.6897
2006-03-06,0.0694
2006-03-07,-2.0819
2006-03-08,0.6378
2006-03-09,0.3521
2006-03-10,0.5614
2006-03-13,-0.1396
2006-03-14,0.559
2006-03-15,-0.9729
2006-03-16,0.9123
2006-03-17,0.0
2006-03-20,0.1391
2006-03-21,-0.7639
2006-03-22,-0.2799
2006-03-23,2.3158
2006-03-24,0.0
2006-03-27,0.0
2006-03-28,0.0702
2006-03-29,-0.7714
2006-03-30,-0.9894
2006-03-31,-1.6417000000000002
2006-04-03,-1.0885
2006-04-04,0.5136
2006-04-05,0.8759
2006-04-06,-0.8683
2006-04-07,0.073
2006-04-10,0.2918
2006-04-11,-0.6909
2006-04-12,-0.0366
2006-04-13,0.1465
2006-04-17,2.3409
2006-04-18,1.5011
2006-04-19,-0.1408
2006-04-20,-0.2116
2006-04-21,0.0
2006-04-24,-1.0601
2006-04-25,0.1429
2006-04-26,-0.7846
2006-04-27,-1.5097
2006-04-28,0.9489
2006-05-01,0.1446
2006-05-02,0.0
2006-05-03,-0.2166
2006-05-04,1.1577
2006-05-05,-0.2861
2006-05-08,-0.4304
2006-05-09,0.5043
2006-05-10,-0.7168
2006-05-11,-0.8664
2006-05-12,-0.2185
2006-05-15,0.0
2006-05-16,-0.219
2006-05-17,-0.1463
2006-05-18,1.0989
2006-05-19,-0.7246
2006-05-22,-1.9708
2006-05-23,1.5636999999999999
2006-05-24,-2.8592
2006-05-25,-1.1320999999999999
2006-05-26,-1.6031
2006-05-30,-1.1637
2006-05-31,0.0
2006-06-01,0.0
2006-06-02,2.0408
2006-06-05,-2.4615
2006-06-06,-0.3943
2006-06-07,0.8709
2006-06-08,-2.0408
2006-06-09,-0.9615
2006-06-12,-1.8608
2006-06-13,0.4122
2006-06-14,0.9852
2006-06-15,1.626
2006-06-16,0.32
2006-06-19,1.2759
2006-06-20,-1.2598
2006-06-21,0.5582
2006-06-22,0.8723
2006-06-23,-0.9434
2006-06-26,3.5714
2006-06-27,1.6092
2006-06-28,0.0
