ticker,HOOB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-05,0.0
2000-01-11,0.0
2000-02-08,0.0
2000-02-11,0.0
2000-02-23,11.7188
2000-02-28,-10.4895
2000-03-22,0.0
2000-03-23,0.0
2000-03-24,0.0
2000-04-13,0.0
2000-04-24,5.0
2000-05-02,-4.7619
2000-05-12,0.0
2000-05-15,0.0
2000-06-07,0.0
2000-06-19,5.0
2000-08-08,-4.7619
2000-08-16,0.0
2000-08-17,0.0
2000-09-13,0.0
2000-09-14,0.0
2000-10-04,5.0
2000-10-11,-4.7619
2000-11-16,0.0
2000-12-07,0.0
2001-01-29,0.0
2001-02-14,0.0
2001-03-14,0.0
2001-03-21,0.0
2001-04-04,5.0
2001-04-06,-4.7619
2001-04-30,0.0
2001-05-15,0.0
2001-05-21,0.0
2001-05-22,0.0
2001-05-24,0.0
2001-06-15,-12.5
2001-06-19,0.0
2001-07-09,0.0
2001-07-18,0.0
2001-08-22,0.0
2001-09-26,0.0
2001-09-28,3.5714
2001-10-03,-3.4483
2001-12-07,7.1429
2002-01-17,13.3333
2002-01-22,5.8824
2002-01-28,11.1111
2002-01-31,-19.5
2002-02-04,55.2795
2002-03-06,-14.0
2002-03-12,-20.9302
2002-04-30,20.5882
2002-05-06,21.9512
2002-05-29,-8.0
2002-05-30,-8.6957
2002-07-26,11.4286
2002-07-29,-10.2564
2002-07-30,2.8571
2002-08-01,4.1667
2002-08-05,6.6667
2002-08-06,-3.125
2002-09-10,16.129
2002-09-19,-3.7037
2002-10-15,11.538499999999999
2002-10-25,-12.069
2002-11-07,-1.9607999999999999
2002-11-26,4.0
2002-12-09,0.0
2002-12-18,3.8462
2003-02-11,-7.037
2003-02-18,-2.1514
2003-02-26,-10.4235
2003-03-27,0.2273
2003-04-09,8.8435
2003-04-30,-4.1667
2003-05-05,-4.1304
2003-06-05,8.8435
2003-09-02,-4.1667
2003-09-30,0.0
2003-10-23,-2.1739
2003-10-27,-2.2222
2003-11-13,1.1364
2003-11-14,1.7978
2003-11-18,-0.6623
2003-11-19,1.1111
2003-11-25,-0.2198
2003-12-09,6.8282
2004-01-21,-8.866
2004-02-05,0.6787
2004-02-20,0.0
2004-02-23,0.0
2004-03-15,16.8539
2004-03-16,15.3846
2004-03-23,-15.0
2004-03-25,-1.9607999999999999
2004-04-13,60.0
2004-04-16,-36.875
2004-04-29,30.6931
2004-07-19,-19.3939
2004-09-01,0.5639
2004-09-07,0.9346
2004-09-08,0.0
2004-11-29,0.0
