ticker,PRU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-12-13,6.5455
2001-12-14,1.2969
2001-12-17,-0.7749
2001-12-18,1.6978
2001-12-19,0.6678
2001-12-20,0.0663
2001-12-21,2.7179
2001-12-24,1.4843
2001-12-26,2.3847
2001-12-27,2.0186
2001-12-28,0.274
2001-12-31,0.759
2002-01-02,-5.6945
2002-01-03,-0.1597
2002-01-04,2.24
2002-01-07,0.0
2002-01-08,-0.5321
2002-01-09,-1.5104
2002-01-10,-0.9265
2002-01-11,-0.3547
2002-01-14,-2.7508
2002-01-15,2.4293
2002-01-16,-0.3249
2002-01-17,-0.5215
2002-01-18,-0.8847
2002-01-22,3.3058
2002-01-23,-2.336
2002-01-24,-0.8847
2002-01-25,0.595
2002-01-28,1.6431
2002-01-29,-1.7459
2002-01-30,-0.7897
2002-01-31,2.9851
2002-02-01,-1.4493
2002-02-04,0.915
2002-02-05,0.5505
2002-02-06,0.3221
2002-02-07,-1.7014
2002-02-08,1.339
2002-02-11,2.3526
2002-02-12,-0.8186
2002-02-13,1.873
2002-02-14,-0.187
2002-02-15,-1.6547
2002-02-19,-3.9365
2002-02-20,1.2888
2002-02-21,0.6199
2002-02-22,-1.9455
2002-02-25,0.1323
2002-02-26,0.7266
2002-02-27,-0.4918
2002-02-28,0.7249
2002-03-01,0.9159
2002-03-04,-0.4862
2002-03-05,2.4104
2002-03-06,-0.1272
2002-03-07,0.5414
2002-03-08,0.5702
2002-03-11,-1.2598
2002-03-12,-1.4354
2002-03-13,-0.8738
2002-03-14,1.11
2002-03-15,0.4198
2002-03-18,0.9325
2002-03-19,0.0319
2002-03-20,-0.1592
2002-03-21,-0.319
2002-03-22,0.0
2002-03-25,-0.128
2002-03-26,0.7049
2002-03-27,-0.1909
2002-03-28,-1.0201
2002-04-01,0.0
2002-04-02,0.9662
2002-04-03,0.0
2002-04-04,1.563
2002-04-05,1.4761
2002-04-08,1.2690000000000001
2002-04-09,0.8557
2002-04-10,-0.6364
2002-04-11,-0.5794
2002-04-12,-0.2761
2002-04-15,-1.3534
2002-04-16,1.6526
2002-04-17,-1.1656
2002-04-18,-1.1484
2002-04-19,0.157
2002-04-22,2.6646
2002-04-23,-0.458
2002-04-24,0.9202
2002-04-25,-1.2766
2002-04-26,-2.186
2002-04-29,0.724
2002-04-30,0.3125
2002-05-01,0.0
2002-05-02,0.0312
2002-05-03,-0.0311
2002-05-06,-1.3396
2002-05-07,-1.6104
2002-05-08,6.7715
2002-05-09,-1.4127
