ticker,SYNA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-01-29,19.1818
2002-01-30,0.4577
2002-01-31,-1.4426999999999999
2002-02-01,1.4561
2002-02-04,-0.7518
2002-02-05,-0.5356
2002-02-06,3.8462
2002-02-07,-3.7037
2002-02-08,0.7692
2002-02-11,1.5267
2002-02-12,-0.9023
2002-02-13,11.3809
2002-02-14,0.545
2002-02-15,2.1003
2002-02-19,-3.5833
2002-02-20,-7.1576
2002-02-21,5.9303
2002-02-22,-1.5394999999999999
2002-02-25,-3.0561
2002-02-26,-7.6246
2002-02-27,0.0
2002-02-28,0.0794
2002-03-01,4.2823
2002-03-04,10.2662
2002-03-05,3.4483
2002-03-06,6.0
2002-03-07,1.5723
2002-03-08,3.5913
2002-03-11,6.0968
2002-03-12,-1.8028
2002-03-13,-7.0568
2002-03-14,-0.6173
2002-03-15,0.3106
2002-03-18,4.9536
2002-03-19,6.2006
2002-03-20,1.9943
2002-03-21,-6.6993
2002-03-22,1.7455
2002-03-25,-2.4614
2002-03-26,-3.7058999999999997
2002-03-27,1.7104
2002-03-28,3.6036
2002-04-01,0.6957
2002-04-02,-3.6269
2002-04-03,5.1374
2002-04-04,7.8977
2002-04-05,-1.5271
2002-04-08,-0.6417
2002-04-09,1.9914
2002-04-10,0.0
2002-04-11,0.5277
2002-04-12,0.5249
2002-04-15,0.5222
2002-04-16,1.039
2002-04-17,2.5707
2002-04-18,-3.1078
2002-04-19,-0.3621
2002-04-22,0.9865
2002-04-23,-3.856
2002-04-24,1.0695000000000001
2002-04-25,-3.963
2002-04-26,-9.0959
2002-04-29,2.8485
2002-04-30,-0.825
2002-05-01,1.2478
2002-05-02,6.5141
2002-05-03,0.4959
2002-05-06,0.5482
2002-05-07,-1.8538999999999999
2002-05-08,0.2778
2002-05-09,-0.277
2002-05-10,-4.4444
2002-05-13,6.3372
2002-05-14,2.7884
2002-05-15,1.2766
2002-05-16,-9.401299999999999
2002-05-17,-0.4058
2002-05-20,4.4761
2002-05-21,-4.7301
2002-05-22,0.0
2002-05-23,-0.8772
2002-05-24,0.885
2002-05-28,-1.1696
2002-05-29,-5.3254
2002-05-30,-0.1875
2002-05-31,1.4402
2002-06-03,-8.1481
2002-06-04,-3.629
2002-06-05,1.1158
2002-06-06,-3.5172
2002-06-07,-1.3580999999999999
2002-06-10,7.971
2002-06-11,-0.8725
2002-06-12,-0.0677
2002-06-13,-1.6192
2002-06-14,1.577
2002-06-17,1.6949
2002-06-18,2.0
