ticker,UMBF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.649
2000-01-04,-1.3605
2000-01-05,0.6897
2000-01-06,-0.6849
2000-01-07,-0.5172
2000-01-10,-1.2132
2000-01-11,0.0
2000-01-12,-0.7018
2000-01-13,1.7668
2000-01-14,-0.3472
2000-01-18,2.0906
2000-01-19,-2.7304
2000-01-20,1.4035
2000-01-21,1.0381
2000-01-24,-3.2534
2000-01-25,1.2389000000000001
2000-01-26,0.0
2000-01-27,0.6993
2000-01-28,-2.4306
2000-01-31,-4.4484
2000-02-01,1.6760000000000002
2000-02-02,0.7326
2000-02-03,-2.5455
2000-02-04,2.4254
2000-02-07,-2.7321999999999997
2000-02-08,0.7491
2000-02-09,1.487
2000-02-10,0.0
2000-02-11,-1.0989
2000-02-14,1.4815
2000-02-15,3.6496
2000-02-16,-2.4648
2000-02-17,-2.1661
2000-02-18,0.0
2000-02-22,-0.738
2000-02-23,0.5576
2000-02-24,-0.5545
2000-02-25,-1.1152
2000-02-28,0.9398
2000-02-29,0.1862
2000-03-01,1.487
2000-03-02,-8.9744
2000-03-03,8.6519
2000-03-06,0.0
2000-03-07,0.3704
2000-03-08,0.9594
2000-03-09,-0.3676
2000-03-10,-0.738
2000-03-13,0.0
2000-03-14,0.5576
2000-03-15,0.2773
2000-03-16,0.2765
2000-03-17,3.6765
2000-03-20,1.2411
2000-03-21,3.8529
2000-03-22,-3.0354
2000-03-23,0.6957
2000-03-24,1.5544
2000-03-27,-2.2109
2000-03-28,-5.0435
2000-03-29,1.8315000000000001
2000-03-30,1.4388
2000-03-31,4.2553
2000-04-03,-1.4881
2000-04-04,-0.5611
2000-04-05,-0.1736
2000-04-06,1.913
2000-04-07,0.3413
2000-04-10,1.1905000000000001
2000-04-11,0.9244
2000-04-12,0.4163
2000-04-13,3.4826
2000-04-14,-5.1282
2000-04-17,-4.0541
2000-04-18,0.0
2000-04-19,-2.6408
2000-04-20,0.1808
2000-04-24,3.2491
2000-04-25,-1.049
2000-04-26,2.1201
2000-04-27,2.4221
2000-04-28,-2.027
2000-05-01,-0.6897
2000-05-02,-0.3472
2000-05-03,-2.7875
2000-05-04,0.3584
2000-05-05,-1.25
2000-05-08,-1.6275
2000-05-09,-1.1029
2000-05-10,1.1152
2000-05-11,0.7353
2000-05-12,-0.365
2000-05-15,-2.5641
2000-05-16,1.8327
2000-05-17,0.4153
2000-05-18,1.1029
2000-05-19,-1.6364
2000-05-22,0.5545
2000-05-23,-1.1029
