ticker,ASAM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-02-10,8.3333
2000-02-11,30.7692
2000-02-15,5.8824
2000-02-16,-8.3333
2000-02-29,-6.0606
2000-03-20,-3.2258
2000-03-23,0.0
2000-03-24,-16.0
2000-03-27,11.1111
2000-03-28,0.0
2000-04-03,-35.7143
2000-04-11,-0.6667
2000-04-12,-0.2237
2000-04-17,56.9507
2000-04-18,114.2857
2000-04-19,5.0
2000-04-20,20.634900000000002
2000-04-24,-7.3684
2000-04-25,-3.4091
2000-04-26,-4.4118
2000-04-27,32.3077
2000-04-28,25.5814
2000-05-01,-11.1111
2000-05-02,0.0
2000-05-03,-16.6667
2000-05-04,0.0
2000-05-05,2.5
2000-05-08,0.0
2000-05-09,4.878
2000-05-10,2.3256
2000-05-11,13.6364
2000-05-12,4.0
2000-05-15,0.0
2000-05-16,3.8462
2000-05-17,-4.6296
2000-05-18,4.8544
2000-05-22,0.0
2000-05-23,-5.5556
2000-05-24,1.9607999999999999
2000-05-25,-19.2308
2000-05-26,-4.7619
2000-05-30,-3.75
2000-05-31,-6.4935
2000-06-01,2.7778
2000-06-02,2.1622
2000-06-06,1.8519
2000-06-07,-1.2987
2000-06-08,3.9474
2000-06-09,0.0
2000-06-12,0.0
2000-06-13,0.0
2000-06-15,-3.7975
2000-06-16,0.0
2000-06-19,1.3158
2000-06-20,-5.1948
2000-06-22,-3.5616
2000-06-23,4.5455
2000-06-27,-0.8152
2000-06-28,9.589
2000-06-30,2.5
2000-07-10,4.878
2000-07-11,0.0
2000-07-12,-1.1628
2000-07-13,1.1764999999999999
2000-07-14,0.0
2000-07-17,0.0
2000-07-18,6.9767
2000-07-19,0.0
2000-07-20,0.0
2000-07-21,1.087
2000-07-25,-5.3763
2000-07-26,-9.0909
2000-07-31,0.0
2000-08-02,0.0
2000-08-03,0.0
2000-08-04,0.0
2000-08-07,5.0
2000-08-08,0.0
2000-08-09,0.0
2000-08-11,7.1429
2000-08-15,-6.6667
2000-08-16,9.5238
2000-08-17,45.6522
2000-08-18,-10.4478
2000-08-21,0.0
2000-08-22,5.8333
2000-08-23,-11.811
2000-08-28,-7.1429
2000-08-29,26.9231
2000-08-31,-17.5758
2000-09-01,10.2941
2000-09-14,3.3333
2000-09-19,-3.2258
2000-09-20,0.0
2000-09-25,0.0
2000-09-26,0.0
2000-09-27,5.0
2000-10-03,-4.7619
2000-10-09,-23.3333
2000-10-11,-4.3478
2000-10-18,-4.5455
2000-10-19,-14.2857
