ticker,ARHI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-04,-75.0
2000-01-05,300.0
2000-01-26,-68.75
2000-02-10,220.0
2000-02-11,-75.0
2000-02-23,-50.0
2000-02-24,500.0
2000-03-03,16.6667
2000-03-06,-71.4286
2000-03-07,250.0
2000-03-17,-14.2857
2000-03-22,-66.6667
2000-04-11,12.5
2000-04-12,-11.1111
2000-06-15,-20.0
2000-06-21,-68.75
2000-07-07,350.0
2000-07-10,-33.3333
2000-07-11,-66.6667
2000-07-12,0.0
2000-10-24,0.0
2000-11-22,0.0
2000-11-30,140.0
2000-12-29,-66.6667
2001-02-15,200.0
2001-03-09,-40.0
2001-04-11,0.0
2001-07-03,-44.4444
2001-07-24,0.0
2001-11-28,-25.0
2002-01-18,0.0
2002-10-14,0.0
2002-11-27,-33.3333
2002-12-20,0.0
2003-02-25,0.0
2003-09-19,0.0
2003-11-14,0.0
2004-03-04,0.0
2004-03-26,0.0
2004-03-31,0.0
2004-04-27,410.0
2005-06-03,-74.5098
2005-10-03,476.9231
2006-01-31,-73.3333
2006-02-17,255.0
2006-02-23,-71.831
2006-02-28,-35.0
2006-03-02,15.3846
2006-04-28,300.0
2006-05-01,-75.0
2006-07-17,13.3333
2006-10-30,0.0
2006-12-01,0.0
2007-03-29,0.0
2007-07-16,-11.7647
2007-10-15,0.0
2007-11-16,0.0
2007-11-26,0.0
2007-12-31,0.0
2008-03-17,0.0
2009-01-26,-33.3333
2009-01-27,-50.0
2009-03-09,0.0
2009-04-22,0.0
2010-08-05,100.0
2011-01-13,-70.0
2011-11-23,0.0
2012-01-24,-66.6667
2012-02-07,300.0
2012-04-12,-92.5
2013-01-17,233.3333
2013-07-29,900.0
2013-10-02,-75.0
2013-12-05,-80.0
2014-01-10,1160.0
2014-05-23,0.0
2014-06-27,-20.634900000000002
2014-09-17,10.0
2014-10-01,0.0
2014-11-04,9.0909
2014-11-13,-25.0
2015-02-25,0.0
2015-06-23,11.1111
2015-11-16,-10.0
2015-11-18,-10.6667
2016-01-27,-0.4975
2016-03-30,10.0
2017-03-02,0.0
2019-09-04,36.3636
