ticker,ATTO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-10-03,-1.6204
2014-10-06,-0.2353
2014-10-07,-5.6604
2014-10-08,-6.25
2014-10-09,-6.9333
2014-10-10,1.1461000000000001
2014-10-13,1.8885999999999998
2014-10-14,-4.2632
2014-10-15,-5.4211
2014-10-16,5.7318
2014-10-17,0.7744
2014-10-20,-2.8818
2014-10-21,1.5826
2014-10-22,-4.187
2014-10-23,1.8293
2014-10-24,-1.7964
2014-10-27,-4.1667
2014-10-28,5.7264
2014-10-29,9.2277
2014-10-30,3.3058
2014-10-31,4.3556
2014-11-03,1.1073
2014-11-04,0.1685
2014-11-05,1.0093
2014-11-06,1.249
2014-11-07,1.2336
2014-11-10,0.8936
2014-11-11,-3.9452
2014-11-12,-0.7544
2014-11-13,-0.9291
2014-11-14,-3.3247999999999998
2014-11-17,-2.4691
2014-11-18,-2.3508
2014-11-19,0.5556
2014-11-20,2.1179
2014-11-21,0.0902
2014-11-24,0.4505
2014-11-25,0.8072
2014-11-26,-1.3345
2014-11-28,-0.541
2014-12-01,-0.0907
2014-12-02,-1.5426
2014-12-03,1.9355
2014-12-04,0.0
2014-12-05,2.9837
2014-12-08,-0.439
2014-12-09,1.4109
2014-12-10,-3.5652
2014-12-11,-1.7133
2014-12-12,-3.578
2014-12-15,0.4757
2014-12-16,-3.7879
2014-12-17,0.8858
2014-12-18,1.1707
2014-12-19,-3.6644
2014-12-22,-0.3003
2014-12-23,1.4056
2014-12-24,-1.5842
2014-12-26,-2.9175
2014-12-29,2.1762
2014-12-30,6.288
2014-12-31,-0.2863
2015-01-02,2.5837
2015-01-05,4.7575
2015-01-06,-2.9386
2015-01-07,2.9358
2015-01-08,1.426
2015-01-09,-1.4938
2015-01-12,-2.1409
2015-01-13,-2.0966
2015-01-14,5.121
2015-01-15,0.2657
2015-01-16,-1.5018
2015-01-20,1.7936999999999999
2015-01-21,4.2291
2015-01-22,-0.3381
2015-01-23,0.933
2015-01-26,0.4202
2015-01-27,-0.6695
2015-01-28,0.7582
2015-01-29,-1.8395000000000001
2015-01-30,1.448
2015-02-02,-1.5953
2015-02-03,1.1092
2015-02-04,-1.2658
2015-02-05,2.4786
2015-02-06,-1.9183
2015-02-09,0.8503
2015-02-10,-0.0843
2015-02-11,0.2532
2015-02-12,0.4209
2015-02-13,-1.7603
2015-02-17,-4.2661999999999995
2015-02-18,1.6042999999999998
2015-02-19,2.193
2015-02-20,0.9442
2015-02-23,0.1701
2015-02-24,-0.1698
