ticker,TBEV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-05-17,-13.3333
2012-05-23,-76.1538
2012-06-07,0.0
2012-06-08,1.6129
2012-06-11,-4.7619
2012-06-12,-3.3333
2012-06-13,13.7931
2012-06-14,-15.1515
2012-06-15,5.3571
2012-06-20,-18.6441
2012-06-25,4.1667
2012-06-26,20.0
2012-06-27,-16.6667
2012-06-28,6.0
2012-06-29,11.3208
2012-07-02,-10.1695
2012-07-03,-1.8868
2012-07-05,-5.7692
2012-07-06,18.3673
2012-07-09,-15.5172
2012-07-12,-6.1224
2012-07-13,-2.1739
2012-07-16,44.4444
2012-07-17,4.6154
2012-07-18,11.7647
2012-07-19,0.0
2012-07-20,-15.7895
2012-07-23,3.125
2012-07-24,9.0909
2012-07-25,2.7778
2012-07-26,0.0
2012-07-27,-10.8108
2012-07-30,9.0909
2012-07-31,-16.6667
2012-08-01,10.0
2012-08-02,-6.0606
2012-08-03,0.0
2012-08-06,-3.2258
2012-08-07,0.0
2012-08-10,5.0
2012-08-13,-7.9365
2012-08-14,-13.4483
2012-08-16,-4.3825
2012-08-17,-8.3333
2012-08-20,9.0909
2012-08-23,0.0
2012-08-24,-20.8333
2012-08-27,0.0
2012-08-28,5.2632
2012-08-29,0.0
2012-09-04,-15.0
2012-09-05,0.0
2012-09-06,17.647100000000002
2012-09-07,20.0
2012-09-10,-16.6667
2012-09-17,5.0
2012-09-25,23.8095
2012-09-26,-7.6923
2012-10-03,-16.6667
2012-10-10,-17.5
2012-10-12,0.0
2012-10-15,0.0
2012-10-18,15.1515
2012-10-19,-5.2632
2012-10-23,-5.5556
2012-10-25,0.0
2012-11-02,0.0
2012-11-07,0.0
2012-11-08,-5.8824
2012-11-12,0.0
2012-11-16,3.125
2012-11-19,15.1515
2012-11-20,7.8947
2012-11-23,-17.0732
2012-11-26,17.5735
2012-11-27,-17.4484
2012-11-28,-27.2727
2012-11-30,12.5
2012-12-04,11.1111
2012-12-05,-20.0
2012-12-06,8.0208
2012-12-07,15.7184
2012-12-10,-33.3333
2012-12-11,5.0
2012-12-12,14.2857
2012-12-13,-16.6667
2012-12-17,20.0
2012-12-18,-25.8333
2012-12-20,-4.4944
2012-12-21,-17.647100000000002
2012-12-26,14.2857
2012-12-28,-11.25
2012-12-31,-1.4085
2013-01-02,28.5714
2013-01-03,44.4444
2013-01-04,6.1538
2013-01-07,1.4493
2013-01-08,0.0
2013-01-09,0.0
2013-01-10,7.1429
2013-01-11,-5.3333
