ticker,WWIN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-09-30,1.5385
2019-10-01,13.6364
2019-10-17,166.6667
2019-10-23,0.0
2019-10-24,0.0
2019-11-13,-37.5
2019-11-21,60.0
2020-05-08,-31.25
2020-05-20,52.7273
