ticker,AGTX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-03-20,-0.5102
2015-08-21,-94.8718
2015-08-27,8.0
2015-08-28,3.7037
2015-09-10,7.1429
2015-09-11,3.3333
2015-09-15,-3.2258
2015-09-29,-33.3333
2015-10-16,50.0
2015-11-03,83.3333
2015-11-04,0.0
2015-11-06,-45.4545
2015-12-02,50.0
2016-03-18,-33.3333
2016-03-24,16.6667
2016-10-06,42.8571
2016-12-21,22.0
2018-09-25,-65.5738
2019-07-02,128.5714
2020-03-02,-95.7917
2020-03-03,0.0099
2020-03-04,-0.0099
2020-03-05,0.9901
2020-04-03,71.5686
2020-04-17,0.0
2020-05-21,0.0
2020-05-27,2.8571
2020-06-10,68.8889
2020-06-11,0.0
2020-06-16,-31.9079
