ticker,DPLS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-04-25,-4.7619
2011-04-26,5.0
2011-04-27,-23.8095
2011-04-29,25.0
2011-05-02,0.0
2011-05-03,0.0
2011-05-05,0.0
2011-05-06,0.0
2011-05-09,-40.0
2011-05-13,50.0
2011-05-19,0.0
2011-05-23,-22.2222
2011-05-25,0.0
2011-06-02,0.0
2011-06-03,14.2857
2011-06-10,0.0
2011-06-14,0.0
2011-06-17,0.0
2011-06-21,0.0
2011-06-22,0.0
2011-06-27,0.0
2011-06-30,12.5
2011-07-11,-11.1111
2011-07-19,-25.0
2011-07-26,33.3333
2011-07-29,37.5
2011-08-04,-45.4545
2011-08-08,33.3333
2011-08-09,0.0
2011-08-10,-25.0
2011-08-15,0.0
2011-08-17,0.0
2011-08-18,-33.3333
2011-08-19,0.0
2011-08-31,75.0
2011-09-07,14.2857
2011-09-12,-37.5
2011-09-14,80.0
2011-09-22,0.0
2011-09-26,0.0
2011-09-28,-44.4444
2011-10-13,40.0
2011-10-17,14.2857
2011-10-24,-25.0
2011-10-25,0.0
2011-10-31,-70.0
2011-11-01,122.2222
2011-11-02,-65.0
2011-11-21,257.1429
2011-11-22,20.0
2011-11-23,0.0
2011-11-29,33.3333
2011-12-01,0.0
2011-12-02,0.0
2011-12-05,25.0
2011-12-07,-48.0
2011-12-13,0.0
2011-12-15,0.0
2011-12-16,15.3846
2011-12-22,0.0
2011-12-27,16.6667
2011-12-28,-37.1429
2011-12-30,45.4545
2012-01-04,-28.125
2012-01-06,39.1304
2012-01-10,0.0
2012-01-18,0.0
2012-01-23,25.0
2012-01-25,-42.5
2012-01-27,43.4783
2012-01-30,51.5152
2012-02-01,0.0
2012-02-03,18.0
2012-02-06,0.0
2012-02-13,-15.2542
2012-02-14,-9.75
2012-02-15,32.964
2012-02-16,233.3333
2012-02-17,5.0
2012-02-21,-38.0952
2012-02-22,0.0
2012-02-23,0.0
2012-02-28,-3.8462
2012-02-29,20.0
2012-03-02,0.0
2012-03-05,-20.0
2012-03-06,4.1667
2012-03-07,20.0
2012-03-08,-33.3333
2012-03-09,10.0
2012-03-12,-9.0909
2012-03-14,50.0
2012-03-15,-33.3333
2012-03-16,0.0
2012-03-19,0.0
2012-03-23,20.0
2012-03-28,-50.0
2012-03-29,16.6667
2012-03-30,28.5714
2012-04-02,33.3333
2012-04-03,16.6667
2012-04-04,14.2857
2012-04-05,-6.25
2012-04-09,-13.3333
2012-04-16,0.0
2012-04-18,0.0
