ticker,BLKG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-11-13,4400.0
2014-10-28,233.3333
2014-10-29,0.0
2014-12-17,70.0
2014-12-19,0.0
2015-01-28,-41.1765
2015-06-22,80.0
2015-06-23,0.0
2015-06-24,5.5556
2015-06-25,4.2105
2015-06-26,4.0404
2015-06-29,3.8834999999999997
2015-06-30,4.6729
2015-07-01,1.7856999999999998
2015-07-02,0.0
2015-07-06,0.0
2015-07-07,0.8772
2015-07-08,0.0
2015-07-09,3.4783
2015-07-10,-0.8403
2015-07-13,2.5423999999999998
2015-07-14,0.8264
2015-07-15,1.6393
2015-07-16,-0.8065
2015-07-17,1.626
2015-07-20,0.0
2015-07-21,0.8
2015-07-22,0.0
2015-07-23,0.0
2015-07-24,3.1746
2015-07-27,5.3846
2015-07-28,7.2993
2015-07-29,-1.3605
2015-07-30,0.6897
2015-07-31,-6.1644
2015-08-03,5.8394
2015-08-04,-2.7586
2015-08-05,9.9291
2015-08-06,7.7419
2015-08-07,3.5928
2015-08-10,9.2486
2015-08-11,11.1111
2015-08-12,8.5714
2015-08-13,0.0
2015-08-14,-4.8246
2015-08-17,-5.9908
2015-08-18,-26.4706
2015-08-19,-29.3333
2015-08-20,16.0377
2015-08-21,14.6341
2015-08-24,25.5319
2015-08-25,-7.9096
2015-08-26,-3.681
2015-08-27,-8.9172
2015-08-28,6.6434
2015-08-31,14.0984
2015-09-01,-2.8736
2015-09-02,4.7337
2015-09-03,6.7797
2015-09-04,-8.4656
2015-09-08,0.578
2015-09-09,-4.023
2015-09-10,2.3952
2015-09-11,-2.3392
2015-09-14,-4.7904
2015-09-15,-11.3208
2015-09-16,-4.9645
2015-09-17,-1.4925
2015-09-18,-6.0606
2015-09-21,4.8387
2015-09-22,-3.0769
2015-09-23,-5.5556
2015-09-24,0.0
2015-09-25,-5.042
2015-09-28,2.6549
2015-09-29,-5.1724
2015-09-30,-7.2727
2015-10-01,-9.4118
2015-10-02,3.8961
2015-10-05,1.0417
2015-10-06,1.5979
2015-10-07,9.2846
2015-10-08,7.7066
2015-10-09,-9.4828
2015-10-12,-4.7619
2015-10-13,1.0
2015-10-14,-1.2871000000000001
2015-10-15,3.3099
2015-10-16,-8.7379
2015-10-19,-11.7553
2015-10-20,-1.1453
2015-10-21,-5.0
2015-10-22,1.1553
2015-10-23,0.7614
2015-10-26,-1.7631999999999999
2015-10-27,-23.0769
2015-10-28,11.4792
2015-10-29,-13.8853
2015-10-30,11.9792
2015-11-02,-0.7946
