ticker,CABE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-12-09,16.1972
2005-12-12,0.0
2005-12-13,0.0
2005-12-14,9.0909
2005-12-15,0.0
2005-12-16,9.4444
2005-12-20,-13.7056
2005-12-21,8.8235
2005-12-29,0.0
2006-01-03,0.0
2006-01-04,2.7027
2006-01-05,0.0
2006-01-09,-5.2632
2006-01-10,8.3333
2006-01-11,-1.5385
2006-01-12,-3.6458
2006-01-13,2.7027
2006-01-18,-7.8947
2006-01-19,11.4286
2006-01-20,2.5641
2006-01-23,5.0
2006-01-24,7.1429
2006-01-25,0.0
2006-01-26,0.0
2006-01-27,15.5556
2006-01-30,7.3077
2006-01-31,5.7348
2006-02-01,-1.6949
2006-02-02,0.0
2006-02-03,-3.4483
2006-02-06,0.0
2006-02-07,-1.0714
2006-02-08,-0.722
2006-02-09,0.0
2006-02-10,5.4545
2006-02-13,-1.7241
2006-02-14,-1.7544
2006-02-15,5.3571
2006-02-16,-6.7797
2006-02-17,-0.7273
2006-02-21,0.7326
2006-02-22,-1.8182
2006-02-24,3.7037
2006-02-27,-3.5714
2006-03-02,0.0
2006-03-10,-1.8519
2006-03-13,-1.8868
2006-03-14,-3.8462
2006-03-15,-4.0
2006-03-16,0.0
2006-03-17,-4.1667
2006-03-20,-2.1739
2006-03-21,4.4444
2006-03-22,19.1489
2006-03-23,0.0
2006-03-24,0.0
2006-03-27,0.0
2006-03-28,0.0
2006-03-29,-3.5714
2006-03-30,1.8519
2006-04-03,-3.6364
2006-04-04,-1.8868
2006-04-05,1.9231
2006-04-06,1.8868
2006-04-07,-3.7037
2006-04-10,-3.8462
2006-04-11,0.0
2006-04-12,0.0
2006-04-13,-3.2
2006-04-17,2.4793
2006-04-18,14.9194
2006-04-19,-3.5088
2006-04-20,-1.8182
2006-04-24,0.0
2006-04-25,0.0
2006-04-26,5.5556
2006-04-27,0.0
2006-04-28,-2.807
2006-05-01,-2.1661
2006-05-03,1.476
2006-05-04,3.6364
2006-05-05,-5.2632
2006-05-08,-1.8519
2006-05-09,-3.0189
2006-05-10,-2.7237
2006-05-11,0.0
2006-05-12,0.0
2006-05-15,10.0
2006-05-16,0.0
2006-05-17,-5.4545
2006-05-18,0.0
2006-05-19,-0.3846
2006-05-22,-7.3359
2006-05-23,6.25
2006-05-25,-1.9607999999999999
2006-05-26,2.0
2006-05-30,0.0
2006-05-31,0.0
2006-06-01,-3.9215999999999998
2006-06-02,-6.1224
2006-06-05,4.3478
2006-06-06,0.0
