ticker,MLCO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-12-19,13.4211
2006-12-20,-6.1253
2006-12-21,-0.8403
2006-12-22,-2.7418
2006-12-26,1.8965
2006-12-27,4.1247
2006-12-28,1.5459
2006-12-29,1.1418
2007-01-03,1.407
2007-01-04,0.4215
2007-01-05,-4.0185
2007-01-08,-3.7536
2007-01-09,-0.65
2007-01-10,5.4857
2007-01-11,-1.6698
2007-01-12,0.097
2007-01-16,0.5332
2007-01-17,2.2662
2007-01-18,4.6676
2007-01-19,-1.7117
2007-01-22,-2.2915
2007-01-23,-1.3133
2007-01-24,0.4753
2007-01-25,-2.3179
2007-01-26,-1.2591
2007-01-29,-1.6675
2007-01-30,-4.2893
2007-01-31,0.8338
2007-02-01,4.4961
2007-02-02,0.9891
2007-02-05,-2.3017
2007-02-06,-1.7544
2007-02-07,-2.0408
2007-02-08,-1.8229
2007-02-09,-1.2202
2007-02-12,-6.2836
2007-02-13,1.0888
2007-02-14,3.2313
2007-02-15,-0.7139
2007-02-16,1.4934
2007-02-20,0.4905
2007-02-21,0.0
2007-02-22,0.6508
2007-02-23,-0.8621
2007-02-26,-1.2908
2007-02-27,-6.4006
2007-02-28,-2.3529
2007-03-01,0.6024
2007-03-02,-1.4364
2007-03-05,-3.4029
2007-03-06,5.4088
2007-03-07,-2.685
2007-03-08,-2.3299
2007-03-09,0.1883
2007-03-12,-2.2556
2007-03-13,-6.6026
2007-03-14,4.8044
2007-03-15,1.3752
2007-03-16,0.1938
2007-03-19,-1.5474
2007-03-20,3.0779
2007-03-21,5.3367
2007-03-22,1.9602
2007-03-23,-2.1591
2007-03-26,-1.3906
2007-03-27,-3.2495
2007-03-28,0.1901
2007-03-29,0.5693
2007-03-30,1.5093999999999999
2007-04-02,-0.8674
2007-04-03,2.5
2007-04-04,-1.8902
2007-04-05,1.3052000000000001
2007-04-09,2.9448
2007-04-10,3.8141
2007-04-11,-5.0517
2007-04-12,-0.5744
2007-04-13,0.7601
2007-04-16,0.3018
2007-04-17,0.4212
2007-04-18,9.7064
2007-04-19,1.3654
2007-04-20,1.8858000000000001
2007-04-23,0.8461
2007-04-24,-2.7268
2007-04-25,-1.8868
2007-04-26,0.3297
2007-04-27,-1.8072
2007-04-30,-2.8444000000000003
2007-05-01,0.8037
2007-05-02,5.2385
2007-05-03,-3.3543
2007-05-04,-0.112
2007-05-07,-3.5874
2007-05-08,-4.4186
2007-05-09,2.4939
2007-05-10,-3.7389
2007-05-11,2.1578
