ticker,GRLB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-09-03,320.0
2014-12-05,10.4762
2015-02-24,158.6207
2015-03-30,-80.0
2015-04-22,1900.0
2015-05-26,-50.0
2015-05-28,-83.0
2015-08-07,17.647100000000002
2015-08-18,-50.0
2015-08-20,480.0
2015-08-21,3.4483
2015-08-24,70.0
2015-08-27,-1.9607999999999999
2015-09-14,-20.0
2015-10-06,-50.0
2015-10-15,110.0
2015-10-16,19.0476
2015-10-28,-10.0
2015-11-03,0.0
2015-11-10,-26.6667
2015-11-11,6.0606
2015-11-12,0.0
2015-11-16,0.0
2015-11-18,0.0
2015-12-01,0.0
2015-12-28,0.0
2015-12-30,0.0
2015-12-31,45.7143
2016-01-04,-31.3725
2016-01-05,-34.2857
2016-01-06,-13.0435
2016-01-25,40.0
2016-02-05,-18.9286
2016-02-18,0.0
2016-03-01,-7.489
2016-03-02,8.0952
2016-03-04,-33.9207
2016-03-07,26.6667
2016-03-09,5.2632
2016-03-14,0.0
2016-03-21,-5.0
2016-03-23,-4.4079
2016-05-25,-3.0282
2016-05-27,7.8779
2016-05-31,0.0
2016-06-01,26.3158
2016-06-02,-8.3333
2016-06-03,-7.9545
2016-06-06,3.7037
2016-06-07,-14.2857
2016-06-08,-5.4861
2016-06-09,11.6826
2016-06-10,-5.2632
2016-06-13,-5.5556
2016-06-14,5.8824
2016-06-15,-5.5556
2016-06-16,16.5441
2016-06-17,-2.5237
2016-06-20,-1.6181
2016-06-21,-6.9079
2016-06-22,6.3604
2016-06-23,-5.7475000000000005
2016-06-24,6.5915
2016-06-27,0.5291
2016-06-28,0.0
2016-06-29,-5.2632
2016-06-30,-2.7778
2016-07-01,2.8571
2016-07-05,-3.4375
2016-07-06,12.1899
2016-07-07,0.0
2016-07-08,-12.0513
2016-07-11,10.7872
2016-07-12,0.0
2016-07-13,0.0
2016-07-14,-5.2632
2016-07-15,4.4444
2016-07-18,3.1915
2016-07-19,-2.5773
2016-07-20,2.6455
2016-07-21,-3.866
2016-07-22,-5.0938
2016-07-25,-15.2542
2016-07-26,0.0
2016-07-27,-13.25
2016-07-28,-15.3698
2016-07-29,37.1169
2016-08-01,-19.8675
2016-08-02,-9.0909
2016-08-03,9.0909
2016-08-04,12.5
2016-08-05,-3.7037
2016-08-08,-13.8462
2016-08-09,-1.7856999999999998
2016-08-10,-8.1818
2016-08-11,43.0693
2016-08-12,-10.0346
2016-08-16,-15.3846
2016-08-17,2.2727
2016-08-18,-10.0556
