ticker,CMCM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-05-08,0.7143
2014-05-09,1.1348
2014-05-12,1.683
2014-05-13,-13.7241
2014-05-14,9.5923
2014-05-15,-0.3647
2014-05-16,-1.2445
2014-05-19,-3.6323
2014-05-20,3.2308
2014-05-21,1.6393
2014-05-22,9.1642
2014-05-23,-0.8731
2014-05-27,1.6938
2014-05-28,2.2652
2014-05-29,8.338799999999999
2014-05-30,6.8551
2014-06-02,-2.6449
2014-06-03,-15.9538
2014-06-04,6.6025
2014-06-05,4.4516
2014-06-06,21.9889
2014-06-09,-2.6329000000000002
2014-06-10,6.7083
2014-06-11,0.5361
2014-06-12,3.4416
2014-06-13,2.9991
2014-06-16,-3.6852
2014-06-17,11.6675
2014-06-18,3.7648
2014-06-19,-5.9111
2014-06-20,-5.5459
2014-06-23,6.7431
2014-06-24,-6.532
2014-06-25,0.7816
2014-06-26,1.1861
2014-06-27,-4.2381
2014-06-30,0.0
2014-07-01,0.1883
2014-07-02,-1.6917
2014-07-03,0.0
2014-07-07,-2.8681
2014-07-08,-7.3819
2014-07-09,0.1063
2014-07-10,3.1847
2014-07-11,8.0247
2014-07-14,-3.7619
2014-07-15,2.2266
2014-07-16,0.8712
2014-07-17,-4.1747
2014-07-18,-2.7541
2014-07-21,-1.2873
2014-07-22,4.2775
2014-07-23,1.0505
2014-07-24,0.5941
2014-07-25,1.5255999999999998
2014-07-28,-4.9443
2014-07-29,-0.153
2014-07-30,-3.5751
2014-07-31,1.4301
2014-08-01,7.8850999999999996
2014-08-04,-0.7744
2014-08-05,-1.7561
2014-08-06,9.434
2014-08-07,12.7042
2014-08-08,-3.3011
2014-08-11,11.3655
2014-08-12,0.486
2014-08-13,0.0372
2014-08-14,-3.2726
2014-08-15,9.1503
2014-08-18,-5.2483
2014-08-19,-0.8922
2014-08-20,0.4876
2014-08-21,-2.5756
2014-08-22,3.4483
2014-08-25,0.2593
2014-08-26,8.5704
2014-08-27,-2.1436
2014-08-28,-2.6426
2014-08-29,-5.8214
2014-09-02,5.802
2014-09-03,-4.8029
2014-09-04,-0.1883
2014-09-05,1.4711
2014-09-08,12.7881
2014-09-09,-10.0857
2014-09-10,-1.7229
2014-09-11,0.6714
2014-09-12,-1.5932
2014-09-15,-9.262
2014-09-16,0.5394
2014-09-17,2.1461
2014-09-18,-1.3333
2014-09-19,0.6962
2014-09-22,-4.8394
2014-09-23,-13.547
2014-09-24,7.2664
2014-09-25,-4.5622
2014-09-26,-3.2834
