ticker,NBSE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-06-01,0.0
2004-06-03,0.0
2004-06-08,0.0
2004-06-09,0.0
2004-06-10,9.0909
2004-06-25,-7.5
2004-06-28,8.1081
2004-06-29,0.0
2004-06-30,0.0
2004-07-01,0.0
2004-07-02,4.1667
2004-07-08,0.0
2004-07-09,10.4
2004-07-13,-5.7971
2004-07-19,-3.8462
2004-07-21,-0.8
2004-07-27,-1.6129
2004-08-09,0.0
2004-08-10,0.0
2004-08-11,6.5574
2004-08-19,-6.9231
2004-08-27,0.8264
2004-08-31,-9.8361
2004-09-13,9.0909
2004-10-07,-1.6667
2004-10-29,1.6949
2004-11-01,-1.6667
2004-11-09,3.3898
2004-11-10,-0.8197
2004-11-11,0.8264
2004-11-12,0.8197
2004-11-19,0.813
2004-11-29,0.0
2004-11-30,0.0
2004-12-29,0.0
2004-12-30,0.0
2004-12-31,0.0
2005-01-11,-19.3548
2005-01-13,22.0
2005-01-18,0.0
2005-01-19,0.0
2005-01-20,-1.6393
2005-01-24,0.0
2005-02-11,2.5
2005-02-14,0.0
2005-03-29,-0.9756
2005-04-18,-9.688
2005-04-28,0.0
2005-05-03,9.0909
2005-05-09,-3.3333
2005-06-02,-31.0345
2005-06-09,-37.5
2005-06-10,100.0
2005-07-05,0.0
2005-07-29,0.0
2005-08-31,15.0
2005-10-24,-9.5652
2005-10-31,0.9615
2006-02-01,-71.4286
2006-03-03,-20.0
2006-03-13,-4.1667
2006-04-10,30.4348
2006-04-11,-16.6667
2006-04-13,0.0
2006-04-17,0.0
2006-10-18,8.0
2006-10-26,0.0
2006-11-10,0.0
2007-01-18,122.2222
2007-01-19,0.0
2007-02-13,-33.3333
2007-03-02,-25.0
2007-03-05,33.3333
2007-03-06,12.5
2007-04-02,0.0
2007-04-12,-22.2222
2007-04-30,0.0
2007-06-28,-14.2857
2007-07-27,-10.0
2007-08-01,0.0
2007-08-21,0.0
2007-08-28,-7.4074
2007-08-30,0.0
2007-10-11,0.0
2007-11-19,-16.0
2007-11-29,-33.3333
2008-01-09,-7.1429
2008-03-24,-7.6923
2008-04-23,0.0
2008-06-24,0.0
2008-06-26,0.0
2008-06-30,-15.0
2008-07-02,0.0
2008-07-21,-41.1765
2008-07-30,-16.6667
2008-08-05,0.0
2008-08-19,0.0
2008-09-02,0.0
2008-10-29,0.0
2008-10-30,0.0
2008-11-12,220.0
2009-03-24,-68.75
2009-04-01,-20.0
2009-08-27,0.0
2009-09-21,145.0
