ticker,LOTE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-02-12,11.2676
2010-03-05,532.9114
2010-03-31,290.0
2010-04-05,55.3846
2010-04-13,18.8119
2010-04-14,0.0
2010-04-22,40.8333
2010-04-23,5.9172
2010-04-26,-2.2346
2010-04-27,0.0
2010-04-28,11.4286
2010-04-29,0.0
2010-04-30,-5.1282
2010-05-03,-5.4054
2010-05-05,0.0
2010-05-06,0.0
2010-05-10,0.0
2010-05-11,-25.1429
2010-05-12,52.6718
2010-05-14,0.0
2010-05-17,0.0
2010-05-18,7.5
2010-05-20,-6.9767
2010-05-21,2.5
2010-05-25,0.0
2010-05-27,-2.439
2010-05-28,2.5
2010-06-01,-2.439
2010-06-02,0.0
2010-06-04,5.5
2010-06-08,-5.2133
2010-06-09,0.0
2010-06-11,2.5
2010-06-15,-2.439
2010-06-16,-5.0
2010-06-17,5.2632
2010-06-18,-5.0
2010-06-21,2.6316
2010-06-22,-2.5641
2010-06-23,0.0
2010-06-24,2.6316
2011-03-15,-38.4615
2011-05-10,-98.9667
2011-10-04,61.2903
2011-10-27,10.0
2011-12-23,1.8182
2012-01-17,7.1429
2012-01-26,1.6667
2012-01-31,-14.7541
2012-02-10,0.0
2012-03-09,3.8462
2012-03-30,-3.7037
2012-04-09,5.7692
2012-04-27,-76.3636
2012-05-22,15.3846
2013-02-11,366.6667
2013-02-20,7.8571
2013-03-01,39.0728
2013-03-04,-14.2857
2013-03-05,-22.2222
2013-03-06,7.1429
2013-03-07,2.6667
2013-03-08,10.3896
2013-03-11,8.2353
2013-03-12,1.087
2013-03-13,4.3011
2013-03-14,0.0
2013-03-15,-1.0309
2013-03-18,-1.0417
2013-03-19,9.473700000000001
2013-03-20,7.6923
2013-03-21,8.9286
2013-03-22,3.2787
2013-03-25,10.3175
2013-03-26,9.3525
2013-03-27,7.2368
2013-03-28,1.8405
2013-04-01,-0.6024
2013-04-02,8.4848
2013-04-03,-4.4693
2013-04-04,0.5848
2013-04-05,4.6512
2013-04-08,-6.6667
2013-04-09,-1.1905000000000001
2013-04-10,3.012
2013-04-11,2.3392
2013-04-12,0.0
2013-04-15,2.8571
2013-04-16,3.3333
2013-04-17,21.5054
2013-04-18,-1.7699
2013-04-19,3.6036
2013-04-22,19.1304
2013-04-23,29.927
2013-04-24,-23.5955
2013-04-25,54.7794
2013-04-26,43.7055
2013-04-29,32.562
2013-04-30,2.8678
2013-05-01,9.0909
2013-05-02,-11.7778
2013-05-03,-7.6826
