ticker,IFS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-07-19,0.2391
2019-07-22,-0.8892
2019-07-23,-2.2976
2019-07-24,-2.2396
2019-07-25,0.2291
2019-07-26,-1.3486
2019-07-29,-1.2974999999999999
2019-07-30,-0.6573
2019-07-31,-0.2836
2019-08-01,-0.6161
2019-08-02,-4.6972000000000005
2019-08-05,-2.8521
2019-08-06,0.5666
2019-08-07,2.7145
2019-08-08,3.4405
2019-08-09,-3.7117
2019-08-12,-1.2766
2019-08-13,1.2424
2019-08-14,-2.3792
2019-08-15,0.0513
2019-08-16,1.9231
2019-08-19,1.5346
2019-08-20,-1.6353
2019-08-21,0.2015
2019-08-22,0.7793
2019-08-23,-3.4672
2019-08-26,-0.3101
2019-08-27,2.5143
2019-08-28,-1.4412
2019-08-29,0.0513
2019-08-30,2.4359
2019-09-03,2.6033
2019-09-04,-1.1954
2019-09-05,2.4691
2019-09-06,-2.0964
2019-09-09,-1.649
2019-09-10,-1.1512
2019-09-11,1.0886
2019-09-12,2.9552
2019-09-13,1.7757
2019-09-16,-1.2428
2019-09-17,0.0726
2019-09-18,1.4268
2019-09-19,1.1445
2019-09-20,-0.1179
2019-09-23,-0.0708
2019-09-24,-1.795
2019-09-25,0.3848
2019-09-26,-0.0958
2019-09-27,-0.1439
2019-09-30,-0.9846
2019-10-01,-3.6139
2019-10-02,-1.4092
2019-10-03,-0.8933
2019-10-04,1.3907
2019-10-07,-0.8128
2019-10-08,-0.9731
2019-10-09,1.4999
2019-10-10,-1.1465
2019-10-11,1.6237
2019-10-14,0.0761
2019-10-15,-0.4308
2019-10-16,0.0764
2019-10-17,2.0855
2019-10-18,0.2242
2019-10-21,1.392
2019-10-22,-0.0981
2019-10-23,1.1043
2019-10-24,0.4612
2019-10-25,0.1933
2019-10-28,-0.6511
2019-10-29,1.0194
2019-10-30,0.024
2019-10-31,0.2402
2019-11-01,1.1503
2019-11-04,-1.4925
2019-11-05,-0.4329
2019-11-06,-0.8937
2019-11-07,0.4387
2019-11-08,-1.7713999999999999
2019-11-11,0.1235
2019-11-12,0.4194
2019-11-13,-1.3514
2019-11-14,-0.5978
2019-11-15,-1.6537
2019-11-18,1.8599
2019-11-19,0.5753
2019-11-20,-1.7657
2019-11-21,0.4051
2019-11-22,-1.0338
2019-11-25,0.3057
2019-11-26,-1.0668
2019-11-27,1.4891
2019-11-29,1.9479
2019-12-02,0.0
2019-12-03,-1.9851
2019-12-04,0.0
2019-12-05,-0.1013
