ticker,FOXA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-03-13,4.6053
2019-03-14,2.2641999999999998
2019-03-15,2.583
2019-03-18,0.0
2019-03-19,-3.2614
2019-03-20,-4.2638
2019-03-21,3.6250999999999998
2019-03-22,-3.2484
2019-03-25,-3.3058
2019-03-26,0.2671
2019-03-27,-1.6516
2019-03-28,-1.4085
2019-03-29,0.8516
2019-04-01,0.3814
2019-04-02,-1.5468
2019-04-03,-0.5513
2019-04-04,1.8847
2019-04-05,2.5027
2019-04-08,-0.5573
2019-04-09,-0.427
2019-04-10,-2.2246
2019-04-11,1.6721
2019-04-12,1.1863
2019-04-15,0.0
2019-04-16,0.5862
2019-04-17,2.8874
2019-04-18,-1.0299
2019-04-22,-1.9251
2019-04-23,1.008
2019-04-24,-0.3151
2019-04-25,0.5005
2019-04-26,0.865
2019-04-29,1.8711
2019-04-30,-0.5357
2019-05-01,1.0516
2019-05-02,-5.3807
2019-05-03,0.5097
2019-05-06,1.201
2019-05-07,-1.7405
2019-05-08,0.4294
2019-05-09,2.8862
2019-05-10,0.0779
2019-05-13,-1.4534
2019-05-14,-0.2107
2019-05-15,-0.4751
2019-05-16,-2.5723000000000003
2019-05-17,2.2047
2019-05-20,-0.4823
2019-05-21,1.4809
2019-05-22,-1.5123
2019-05-23,-0.5657
2019-05-24,0.0271
2019-05-28,-0.7584
2019-05-29,-2.3199
2019-05-30,-1.5926
2019-05-31,0.0284
2019-06-03,-2.8101000000000003
2019-06-04,0.7009
2019-06-05,-0.348
2019-06-06,-0.6985
2019-06-07,-0.3224
2019-06-10,0.0588
2019-06-11,0.4408
2019-06-12,2.5453
2019-06-13,0.6847
2019-06-14,-0.1417
2019-06-17,2.5255
2019-06-18,0.1661
2019-06-19,-0.5526
2019-06-20,-1.1392
2019-06-21,1.6863000000000001
2019-06-24,-1.0503
2019-06-25,-1.2849
2019-06-26,0.3679
2019-06-27,1.466
2019-06-28,1.8061
2019-07-01,-1.9651
2019-07-02,1.8653
2019-07-03,-0.6559
2019-07-05,0.6878
2019-07-08,-1.2842
2019-07-09,-0.3045
2019-07-10,0.3331
2019-07-11,0.4151
2019-07-12,1.8462
2019-07-15,0.1353
2019-07-16,-0.8646
2019-07-17,-1.4173
2019-07-18,1.0506
2019-07-19,-0.3283
2019-07-22,-0.9058
2019-07-23,0.3324
2019-07-24,1.0491
2019-07-25,1.5574
2019-07-26,0.1076
2019-07-29,0.8062
2019-07-30,0.8264
2019-07-31,-1.3221
