ticker,IGEN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-01-08,-3.1579
2009-01-09,2.7174
2009-01-13,-3.1746
2009-01-23,1.0929
2009-01-26,0.0
2009-01-27,0.0
2009-02-03,2.7027
2009-02-04,-2.6316
2009-02-05,2.1622
2009-02-06,0.5291
2009-02-09,5.2632
2009-02-12,0.0
2009-02-13,2.5
2009-02-23,0.4878
2009-02-24,-0.4854
2009-02-25,0.4878
2009-03-03,1.9417
2009-03-04,0.0
2009-03-09,4.7619
2009-03-16,-58.4091
2009-03-18,-73.7705
2009-04-01,-50.4167
2009-04-02,-41.1765
2009-04-03,-37.8571
2009-04-06,-54.023
2009-04-07,-2.5
2009-04-08,7.6923
2009-04-09,-9.5238
2009-04-13,147.3684
2009-04-14,-4.2553
2009-04-15,-26.6667
2009-04-16,-3.0303
2009-04-17,-9.375
2009-04-20,-13.7931
2009-04-21,-4.0
2009-04-22,3.6458
2009-04-23,-23.6181
2009-04-24,21.0526
2009-04-27,-4.3478
2009-04-28,-40.9091
2009-04-29,15.3846
2009-04-30,6.6667
2009-05-01,-3.125
2009-05-04,-6.4516
2009-05-05,-10.3448
2009-05-06,-7.6923
2009-05-07,0.0
2009-05-08,-16.6667
2009-05-11,0.0
2009-05-12,10.0
2009-05-13,-9.0909
2009-05-14,40.0
2009-05-15,-32.1429
2009-05-18,10.526299999999999
2009-05-19,33.3333
2009-05-20,-14.2857
2009-05-21,-16.6667
2009-05-22,-1.25
2009-05-26,-8.8608
2009-05-27,-5.5556
2009-05-28,-11.7647
2009-05-29,13.3333
2009-06-01,17.647100000000002
2009-06-02,-10.0
2009-06-04,-11.1111
2009-06-05,0.0
2009-06-08,0.0
2009-06-09,-12.5
2009-06-10,-14.2857
2009-06-11,0.0
2009-06-12,0.0
2009-06-15,16.6667
2009-06-17,26.7857
2009-06-18,0.0
2009-06-19,0.0
2009-06-22,-9.8592
2009-06-23,-18.75
2009-06-24,15.3846
2009-06-29,-20.0
2009-07-07,-75.0
2009-07-10,0.0
2009-07-15,33.3333
2009-07-17,0.0
2009-07-24,0.0
2009-07-28,25.0
2009-08-05,0.0
2009-08-10,-32.0
2009-08-11,0.0
2009-08-14,0.0
2009-08-17,0.0
2009-08-18,0.0
2009-08-19,17.647100000000002
2009-08-20,-15.0
2009-08-21,-11.7647
2009-08-25,-33.3333
2009-08-27,0.0
2009-08-31,-10.0
2009-09-01,0.0
2009-09-02,0.0
2009-09-08,-38.8889
2009-09-09,190.9091
