ticker,TTXP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-11-15,0.0
2008-09-24,100.0
2009-01-05,133.3333
2009-01-07,0.0
2009-01-15,42.8571
2009-04-02,0.0
2009-04-03,-4.0
2009-04-06,-4.1667
2009-04-07,-0.2174
2009-04-08,-1.0893
2009-04-09,3.0837
2009-04-13,-3.8462
2009-04-14,0.0
2009-04-15,4.0
2009-04-16,-0.4274
2009-04-17,-9.8712
2009-04-20,-16.6667
2009-04-21,33.1429
2009-04-22,-5.5794
2009-04-23,-0.9091
2009-04-24,-8.2569
2009-04-27,-12.5
2009-04-28,13.1429
2009-05-06,-24.2424
2009-05-19,13.3333
2009-05-21,0.0
2009-05-22,-29.4118
2009-05-26,41.6667
2009-05-27,-29.4118
2009-05-28,25.0
2009-06-02,0.0
2009-06-03,-16.6667
2009-06-05,0.0
2009-06-08,-21.2
2009-06-09,2.5381
2009-06-10,-0.9901
2009-06-11,0.0
2009-06-15,-40.0
2009-06-16,0.0
2009-06-17,68.3333
2009-06-18,-0.9901
2009-06-19,-9.0
2009-06-22,6.5934
2009-06-23,3.0928
2009-06-25,-9.0
2009-06-26,4.3956
2009-06-29,-5.2632
2009-06-30,-38.8889
2009-07-01,9.0909
2009-07-02,0.0
2009-07-06,-25.0
2009-07-07,13.3333
2009-07-08,0.0
2009-07-09,-21.5686
2009-07-10,25.0
2009-07-13,2.0
2009-07-15,-23.5294
2009-07-16,2.5641
2009-07-17,0.0
2009-07-20,-12.5
2009-07-21,-8.5714
2009-07-22,0.0
2009-07-23,-6.25
2009-07-24,10.0
2009-07-27,0.0
2009-07-28,-9.0909
2009-07-29,0.0
2009-07-30,10.0
2009-07-31,-15.1515
2009-08-03,-10.7143
2009-08-04,0.0
2009-08-05,0.0
2009-08-06,0.0
2009-08-07,-8.0
2009-08-10,-13.0435
2009-08-11,25.0
2009-08-12,-16.0
2009-08-13,0.0
2009-08-14,19.0476
2009-08-17,0.0
2009-08-18,24.0
2009-08-19,-25.8065
2009-08-20,-26.087
2009-08-21,11.7647
2009-08-24,0.0
2009-08-25,0.0
2009-08-26,-5.2632
2009-08-27,33.3333
2009-08-31,-4.1667
2009-09-01,-30.4348
2009-09-02,6.25
2009-09-03,-5.8824
2009-09-04,-6.25
2009-09-08,56.6667
2009-09-09,-36.1702
2009-09-10,-20.0
2009-09-11,-8.3333
2009-09-14,0.0
2009-09-15,9.0909
2009-09-16,8.3333
2009-09-17,-23.0769
2009-09-18,25.0
2009-09-21,-20.0
