ticker,GZIC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-11-03,25.0
2005-11-14,40.0
2005-11-17,71.4286
2005-11-18,4.1667
2005-11-21,-8.0
2005-11-22,8.6957
2005-11-23,4.0
2005-11-25,0.0
2005-11-28,0.0
2005-11-29,19.2308
2005-11-30,3.2258
2005-12-01,10.625
2005-12-02,-3.9548
2005-12-06,-8.8235
2005-12-07,6.4516
2005-12-08,0.0
2005-12-09,30.303
2005-12-13,4.6512
2005-12-14,8.8889
2005-12-15,2.0408
2005-12-16,0.4
2005-12-19,-28.2869
2005-12-20,22.2222
2005-12-21,-9.0909
2005-12-22,20.0
2005-12-23,-16.6667
2005-12-28,2.5
2005-12-29,26.8293
2005-12-30,-1.9231
2006-01-03,7.8431
2006-01-04,9.0909
2006-01-05,1.6667
2006-01-06,27.8689
2006-01-09,-19.2308
2006-01-10,-12.6984
2006-01-11,-10.9091
2006-01-12,-5.7143
2006-01-13,-4.7619
2006-01-17,-2.2727
2006-01-18,4.6512
2006-01-19,-2.2222
2006-01-20,-2.2727
2006-01-23,2.3256
2006-01-24,2.2727
2006-01-25,11.1111
2006-01-26,14.4
2006-01-27,43.3566
2006-01-30,7.3171
2006-01-31,-4.5455
2006-02-01,2.1429
2006-02-02,-4.4289
2006-02-03,-7.3171
2006-02-06,0.0
2006-02-07,1.3158
2006-02-08,-2.5974
2006-02-09,6.6667
2006-02-10,2.5
2006-02-13,-7.3171
2006-02-14,0.0
2006-02-15,-2.6316
2006-02-16,0.0
2006-02-17,-1.3514
2006-02-21,-9.589
2006-02-22,-48.4848
2006-02-23,-41.1765
2006-02-24,60.0
2006-02-27,-18.75
2006-02-28,-15.3846
2006-03-01,0.0
2006-03-02,0.0
2006-03-03,0.9091
2006-03-06,-12.1622
2006-03-07,2.5641
2006-03-08,10.0
2006-03-09,-4.5455
2006-03-10,-4.7619
2006-03-13,-15.0
2006-03-14,-11.7647
2006-03-15,-4.0
2006-03-16,-15.2778
2006-03-17,-1.6393
2006-03-20,-13.3333
2006-03-21,-3.8462
2006-03-22,-17.75
2006-03-23,-5.1672
2006-03-24,41.0256
2006-03-27,5.4545
2006-03-28,-12.069
2006-03-29,-11.7647
2006-03-30,-13.3333
2006-03-31,2.5641
2006-04-03,-2.5
2006-04-04,-7.6923
2006-04-05,-22.2222
2006-04-06,19.6429
2006-04-07,-1.4925
2006-04-10,-9.0909
2006-04-11,-6.6667
2006-04-12,0.0
2006-04-13,20.3125
2006-04-17,46.9388
