ticker,OZSC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-05-09,700.0
2017-05-10,60.0
2017-05-11,40.625
2017-05-12,-1.1111
2017-05-16,-10.1124
2017-05-17,25.0
2017-06-02,-30.0
2017-06-05,7.1429
2017-06-07,60.0
2018-10-08,75.0
2018-10-09,-11.9048
2018-10-16,-2.7027
2018-10-18,-1.1111
2018-10-19,0.0
2018-10-22,1.1236
2018-10-24,-0.5556
2018-10-25,0.0
2018-10-29,0.0
2018-10-30,0.0
2018-11-08,-6.1453
2018-11-09,0.0
2018-11-29,-34.5238
2018-12-03,53.6364
2018-12-19,-34.9112
2019-01-04,0.0
2019-01-16,-4.5455
2019-01-17,-42.8571
2019-01-18,66.6667
2019-01-23,-40.0
2019-01-24,66.65
2019-01-25,80.018
2019-01-28,-45.0
2019-01-30,-3.5354
2019-02-01,-6.8063
2019-02-04,-10.1124
2019-02-05,0.0
2019-02-06,11.25
2019-02-08,0.0
2019-02-12,-18.5393
2019-02-14,17.2414
2019-02-20,-41.1765
2019-02-21,30.0
2019-02-22,-0.0154
2019-02-25,6.1702
2019-02-26,57.971
2019-02-28,-35.7798
2019-03-04,-5.7143
2019-03-06,13.6364
2019-03-07,-6.6667
2019-03-08,14.2857
2019-03-11,6.25
2019-03-18,-21.1765
2019-03-19,4.4776
2019-03-21,-14.2857
2019-03-22,-25.0
2019-03-26,19.5556
2019-03-27,20.8178
2019-03-28,-1.5385
2019-03-29,-6.25
2019-04-02,0.0
2019-04-03,8.3333
2019-04-04,0.0
2019-04-05,-23.0769
2019-04-08,18.0
2019-04-09,-15.2542
2019-04-10,-14.0
2019-04-18,-4.6512
2019-04-23,-26.8293
2019-04-24,0.0
2019-04-25,0.0
2019-04-26,-3.3333
2019-04-29,-5.1724
2019-04-30,-27.2727
2019-05-01,-7.5
2019-05-02,29.7297
2019-05-03,22.9167
2019-05-06,-34.2373
2019-05-07,-7.4742
2019-05-08,-4.234
2019-05-10,-36.0675
2019-05-13,0.091
2019-05-14,22.7273
2019-05-16,-25.9259
2019-05-17,10.0
2019-05-20,9.0909
2019-05-21,0.0
2019-05-22,0.0
2019-05-23,-16.6667
2019-05-24,-55.0
2019-05-28,0.0
2019-05-29,-11.1111
2019-05-30,0.0
2019-05-31,12.5
2019-06-03,-5.5556
2019-06-04,5.8824
2019-06-05,-3.7778
2019-06-06,-7.6212
2019-06-07,-22.5
2019-06-11,-32.2581
2019-06-12,16.6667
2019-06-13,22.449
2019-06-14,16.6667
