ticker,HOTH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-02-19,-17.2333
2019-02-20,11.898
2019-02-21,-3.7975
2019-02-22,-9.3421
2019-02-25,-6.3861
2019-02-26,-7.7519
2019-02-27,1.6806999999999999
2019-02-28,2.4793
2019-03-01,-1.7339
2019-03-04,-3.652
2019-03-05,0.5111
2019-03-06,-0.339
2019-03-07,-7.1429
2019-03-08,-2.3810000000000002
2019-03-11,3.7523
2019-03-12,3.255
2019-03-13,-5.4291
2019-03-14,7.4074
2019-03-15,-2.5
2019-03-18,-3.6250999999999998
2019-03-19,-0.7339
2019-03-20,6.7227
2019-03-21,-1.1033
2019-03-22,-7.1804
2019-03-26,4.5283
2019-03-27,-4.6931
2019-03-28,0.1098
2019-03-29,-2.5691
2019-04-01,-7.5728
2019-04-02,14.4958
2019-04-03,-9.9083
2019-04-04,3.8717
2019-04-08,3.9195
2019-04-09,-7.3585
2019-04-10,9.776
2019-04-11,2.4119
2019-04-12,0.0
2019-04-15,-4.8895
2019-04-16,-7.6227
2019-04-17,9.4291
2019-04-18,-3.9625
2019-04-22,7.9087
2019-04-23,-3.1527
2019-04-24,3.2554
2019-04-25,-4.1818
2019-04-26,-1.0247
2019-04-29,8.1269
2019-04-30,-4.2536
2019-05-01,1.3648
2019-05-02,-1.3647
2019-05-03,-3.6859
2019-05-06,-2.8846
2019-05-07,3.7644
2019-05-09,4.0056
2019-05-10,2.7523
2019-05-13,-0.8929
2019-05-14,10.8108
2019-05-15,-3.4146
2019-05-16,-7.4074
2019-05-17,-2.3636
2019-05-20,-5.959
2019-05-21,4.9505
2019-05-22,-2.4528
2019-05-23,-2.3211
2019-05-24,3.5644
2019-05-28,-3.6329000000000002
2019-05-29,0.1984
2019-05-30,15.2733
2019-05-31,11.6589
2019-06-03,-0.1538
2019-06-04,20.8012
2019-06-05,-10.9694
2019-06-06,-2.5788
2019-06-07,-2.2059
2019-06-10,5.5639
2019-06-11,15.3846
2019-06-12,-15.679
2019-06-13,5.836
2019-06-14,-9.3877
2019-06-17,3.8167999999999997
2019-06-18,-0.1471
2019-06-19,-11.1929
2019-06-20,-2.6534
2019-06-21,-9.7104
2019-06-24,-1.8868
2019-06-25,8.8462
2019-06-26,-1.0601
2019-06-27,7.1429
2019-06-28,-3.1667
2019-07-01,-5.6799
2019-07-02,6.9343
2019-07-03,-1.1945000000000001
2019-07-05,-8.4629
2019-07-08,8.1132
2019-07-09,-0.9965
2019-07-10,-3.4004
2019-07-11,0.9124
