ticker,PCTI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,10.0
2000-01-04,-10.1732
2000-01-05,9.8795
2000-01-06,-2.8509
2000-01-07,2.5959
2000-01-10,-1.8702
2000-01-11,-10.3139
2000-01-12,-4.0
2000-01-13,19.7917
2000-01-14,0.0
2000-01-18,10.3261
2000-01-19,1.2808
2000-01-20,-2.3346
2000-01-21,6.9721
2000-01-24,-6.5177
2000-01-25,-5.7769
2000-01-26,4.8626000000000005
2000-01-27,-1.2097
2000-01-28,-3.6734999999999998
2000-01-31,0.0
2000-02-01,-6.7797
2000-02-02,0.9091
2000-02-03,-6.5315
2000-02-04,1.6867
2000-02-07,-9.7156
2000-02-08,3.4121
2000-02-09,6.0914
2000-02-10,2.1531000000000002
2000-02-11,-4.918
2000-02-14,-3.6946
2000-02-15,-6.9054
2000-02-16,1.9231
2000-02-17,-4.717
2000-02-18,0.7072
2000-02-22,4.4944
2000-02-23,7.3925
2000-02-24,4.005
2000-02-25,10.71
2000-02-28,2.8261
2000-02-29,15.0106
2000-03-01,29.4118
2000-03-02,-2.0597
2000-03-03,11.24
2000-03-06,-5.0847
2000-03-07,-3.2967
2000-03-08,-5.6818
2000-03-09,0.1506
2000-03-10,1.0526
2000-03-13,-4.7619
2000-03-14,-13.4375
2000-03-15,-4.5126
2000-03-16,-9.8299
2000-03-17,6.499
2000-03-20,-13.3858
2000-03-21,-9.4318
2000-03-22,11.1669
2000-03-23,-2.0316
2000-03-24,2.3041
2000-03-27,6.3063
2000-03-28,8.2627
2000-03-29,-2.9843
2000-03-30,0.0504
2000-03-31,21.371
2000-04-03,-16.9435
2000-04-04,-1.5
2000-04-05,-2.5381
2000-04-06,-7.0833
2000-04-07,-4.2600999999999996
2000-04-10,-6.089
2000-04-11,-7.1072
2000-04-12,-7.651
2000-04-13,-2.0349
2000-04-14,-12.6855
2000-04-17,-8.5811
2000-04-18,5.948
2000-04-19,-1.0526
2000-04-20,-8.5106
2000-04-24,-6.0078
2000-04-25,9.6907
2000-04-26,2.2556
2000-04-27,4.0441
2000-04-28,-5.3004
2000-05-01,11.9403
2000-05-02,-1.6667
2000-05-03,-11.1864
2000-05-04,-1.9083999999999999
2000-05-05,5.4475
2000-05-08,0.1845
2000-05-09,-4.9724
2000-05-10,-1.938
2000-05-11,-1.581
2000-05-12,2.4096
2000-05-15,12.549
2000-05-16,7.3171
2000-05-17,-5.1948
2000-05-18,-12.3288
2000-05-19,-11.5234
2000-05-22,-6.8433
