ticker,BSND US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.5294
2000-01-10,0.0
2000-01-12,-0.6098
2000-03-10,7.362
2000-03-13,-6.8571
2000-03-15,1.227
2000-07-25,-1.0606
2000-10-30,0.1531
2000-11-01,0.0
2000-11-15,0.9174
2000-11-22,-0.6061
2000-12-18,6.7073
2001-07-18,-12.0
2001-07-23,7.1429
2003-09-22,-3.0303
2003-10-01,1.5625
2003-10-22,-1.5385
2004-06-03,1.5625
2004-06-22,1.5385
2006-06-21,13.6364
2006-07-07,6.6667
2006-08-31,4.0
2006-11-16,-2.6442
2006-11-21,11.1111
2008-06-03,11.1111
2008-06-04,2.0
2008-06-19,-10.5882
2008-07-15,9.6491
2008-07-16,-3.0
2008-07-17,-2.0619
2008-08-18,5.2632
2008-09-11,-5.0
2008-09-15,-5.2632
2008-09-16,-5.5556
2008-09-17,-1.1764999999999999
2008-09-29,-2.3810000000000002
2008-10-08,-1.2195
2008-10-10,-4.8148
2008-10-13,7.2633
2009-01-08,-2.0556
2009-01-23,-6.1728
2009-02-09,0.0
2009-02-12,1.3158
2009-04-01,-1.2987
2009-04-06,-2.6316
2009-04-17,0.0
2009-04-29,0.0
2009-04-30,2.7027
2009-06-10,0.0
2009-06-22,0.0
2009-06-23,1.3158
2009-08-27,0.0
2009-11-10,25.974
2010-02-02,-19.5876
2010-04-06,1.2821
2010-05-13,10.1266
2010-05-24,-8.046
2010-06-01,12.5
2010-07-19,-11.1111
2010-07-20,5.0
2010-08-17,-4.7619
2010-10-13,0.0
2010-10-27,0.5
2010-11-24,5.7189
2010-12-21,-5.4094999999999995
2011-01-11,5.7214
2011-01-25,-8.2353
2011-02-15,7.6923
2011-02-25,-7.8571
2011-03-09,1.0336
2011-03-10,-1.023
2011-03-15,3.3592
2011-03-17,0.0
2011-03-18,0.0
2011-04-15,-3.9875
2011-04-19,0.7681
2011-04-29,-0.7752
2011-05-05,0.0
2011-06-06,0.0
2011-06-13,0.0
2011-07-07,-2.3438
2011-07-18,0.0
2011-07-25,-2.9333
2012-03-01,3.022
2012-05-16,0.0
2012-06-14,-6.1333
2012-06-20,0.0
2012-07-02,2.8409
2012-07-03,-2.7624
2012-07-05,6.5341000000000005
2012-08-02,-4.5333
2012-08-21,4.7486
2012-09-04,0.0
2012-11-05,0.0
2012-11-08,-18.4
2012-11-09,1.3072
2013-01-16,12.9032
2013-02-11,-1.4285999999999999
2013-02-15,1.4551
2013-04-15,4.8512
2013-05-17,0.0
