ticker,LBAO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-03-27,-12.1951
2019-03-28,-8.3333
2019-07-12,384.8485
2019-07-18,-81.25
2020-02-12,-66.6667
2020-07-13,200.0
