ticker,GGGRF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-05-14,-50.2591
2018-07-09,6.5972
2018-07-12,-16.9381
2018-07-24,-33.7255
2018-08-17,-21.4201
2018-08-20,45.3313
2018-08-24,0.0
2018-09-21,-48.1865
2018-12-31,-79.0
2020-04-22,-23.8095
2020-06-26,6.25
2020-07-08,0.0
2020-07-15,0.0
