ticker,PRGNF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-08-10,-9.375
2007-08-13,5.3793
2007-08-14,0.4581
2007-08-15,-3.5831
2007-08-16,0.2703
2007-08-17,0.7412
2007-08-20,-0.8696
2007-08-21,-0.8097
2007-08-22,4.0816
2007-08-23,0.5882
2007-08-24,3.3788
2007-08-27,-1.3199
2007-08-28,-1.9745
2007-08-29,-0.5198
2007-08-30,0.3266
2007-08-31,2.7995
2007-09-04,1.0893
2007-09-05,-1.3908
2007-09-06,1.3342
2007-09-07,-1.5674000000000001
2007-09-10,0.9554
2007-09-11,0.7571
2007-09-12,-2.3168
2007-09-13,-1.859
2007-09-14,1.241
2007-09-17,-0.129
2007-09-18,2.9716
2007-09-19,0.0
2007-09-20,0.3764
2007-09-21,3.6875
2007-09-24,1.2055
2007-09-25,-0.9083
2007-09-26,1.3974
2007-09-27,1.8376000000000001
2007-09-28,-1.2806
2007-10-01,2.8891999999999998
2007-10-02,0.1719
2007-10-03,5.1487
2007-10-04,2.9924
2007-10-05,2.747
2007-10-08,11.928
2007-10-09,5.7418
2007-10-10,3.7793
2007-10-11,-1.7162
2007-10-12,-0.6814
2007-10-15,0.1715
2007-10-16,0.3853
2007-10-17,3.0277
2007-10-18,7.3675
2007-10-19,-0.9252
2007-10-22,-1.7899
2007-10-23,3.0111
2007-10-24,0.0
2007-10-25,-1.7692
2007-10-26,-0.1958
2007-10-29,5.9239
2007-10-30,-11.6667
2007-10-31,5.1572
2007-11-01,0.4785
2007-11-02,1.1508
2007-11-05,-6.1593
2007-11-06,-3.8462
2007-11-07,-7.913
2007-11-08,-0.9443
2007-11-09,-5.4814
2007-11-12,-7.4634
2007-11-13,10.6812
2007-11-14,1.871
2007-11-15,-5.5099
2007-11-16,3.1714
2007-11-19,-3.7804
2007-11-20,-1.845
2007-11-21,0.6445
2007-11-23,-0.2134
2007-11-26,-5.0267
2007-11-27,-1.6892
2007-11-28,9.1065
2007-11-29,3.6745
2007-11-30,3.2911
2007-12-03,0.3431
2007-12-04,-4.4449
2007-12-05,2.6067
2007-12-06,4.4843
2007-12-07,4.578
2007-12-10,1.7784
2007-12-11,-4.0323
2007-12-12,-1.1671
2007-12-13,-8.3137
2007-12-14,-1.9578
2007-12-17,-3.0478
2007-12-18,1.5175999999999998
2007-12-19,0.1068
2007-12-20,-1.0667
2007-12-21,0.1078
2007-12-24,1.6155
2007-12-26,-3.2856
2007-12-27,3.2329
2007-12-28,-1.0085
2007-12-31,-2.3592
