ticker,SURG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-10-15,152.5
2007-10-16,100.0
2007-10-17,-10.8911
2007-10-19,11.1111
2007-10-22,25.0
2007-11-13,26.4
2007-11-14,0.0
2007-11-15,25.3165
2007-11-16,-22.7273
2007-11-20,7.8431
2007-11-27,-3.0303
2007-11-30,3.125
2007-12-04,0.0
2007-12-05,0.0
2007-12-06,0.0
2007-12-07,-7.8788
2007-12-13,-14.473700000000001
2007-12-20,-7.6923
2007-12-21,4.1667
2007-12-31,4.0
2008-01-04,15.3846
2008-01-08,-26.6667
2008-01-10,13.6364
2008-01-17,12.0
2008-01-18,7.1429
2008-01-25,6.6667
2008-01-28,-6.25
2008-01-29,0.0
2008-01-30,3.3333
2008-01-31,-16.129
2008-02-01,15.3846
2008-02-08,-13.3333
2008-02-26,-15.3846
2008-03-31,-8.1818
2008-04-25,-69.3069
2008-04-28,45.1613
2008-04-30,17.7778
2008-05-01,3.7736
2008-05-02,3.6364
2008-05-05,1.7544
2008-05-06,0.0
2008-05-07,12.069
2008-05-08,0.0
2008-05-09,-1.5385
2008-05-12,3.125
2008-05-13,6.0606
2008-05-14,4.2857
2008-05-15,5.4795
2008-05-16,7.7922
2008-05-19,2.4096
2008-05-20,3.5294
2008-05-21,1.1364
2008-05-22,0.0211
2008-05-23,1.1023
2008-05-27,5.6667
2008-05-28,0.9464
2008-05-29,5.2083
2008-05-30,2.9703
2008-06-02,-2.8846
2008-06-03,-40.5941
2008-06-09,8.3333
2008-06-10,29.2308
2008-06-11,-10.7143
2008-06-13,12.0
2008-06-16,-2.3810000000000002
2008-06-17,23.1707
2008-06-18,-25.7426
2008-06-23,0.0
2008-06-24,1.3333
2008-06-30,0.0
2008-07-08,5.2632
2008-07-10,0.0
2008-07-15,0.0
2008-07-17,12.5
2008-07-18,22.2222
2008-07-24,9.0909
2008-07-29,6.25
2008-07-30,-35.2941
2008-07-31,63.6364
2008-08-01,11.1111
2008-08-05,5.0
2008-08-07,4.7619
2008-08-08,13.6364
2008-08-11,80.0
2008-08-12,0.0
2008-08-14,0.0
2008-08-15,-20.4444
2008-08-18,1.6760000000000002
2008-08-19,0.5495
2008-08-20,0.5464
2008-08-21,0.0
2008-08-22,1.087
2008-08-25,0.5376
2008-08-26,1.0695000000000001
2008-08-27,0.0
2008-08-28,1.0582
2008-08-29,1.5707
2008-09-02,0.5155
2008-09-03,1.0256
2008-09-04,0.0
2008-09-05,1.0152
2008-09-08,-0.5025
2008-09-09,0.0
