ticker,RASP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-04-08,0.0
2016-10-14,78.75
2016-10-17,-4.5455
2016-11-08,4.7619
2016-11-25,40.9091
2016-11-30,29.0323
2016-12-01,-7.5
2017-01-03,0.0
2017-01-04,-16.2162
2017-01-05,31.6129
2017-01-10,1.9607999999999999
2017-01-11,0.9615
2017-03-14,0.4762
2017-03-23,3.3175
2017-04-03,-42.6606
2017-04-04,-1.6
2017-04-05,-18.6992
2017-04-06,-15.0
2017-04-17,76.4706
2017-05-08,47.3333
2017-05-10,-1.3575
2017-05-12,76.6055
2017-05-19,0.7792
2017-06-02,0.5155
2017-06-07,2.5641
2017-07-06,25.0
2017-07-07,-10.0
2017-07-10,0.0
2017-08-03,-11.1111
2017-10-10,-22.5
2017-10-24,-19.3548
2017-11-02,0.0
2017-11-07,10.0
2017-11-24,-9.0909
2017-12-18,-40.0
2017-12-19,166.6667
2017-12-20,-25.0
2018-01-03,233.3333
2018-01-04,-50.0
2018-01-05,-20.0
2018-01-08,-46.25
2018-01-09,6.5116
2018-01-10,0.0
2018-01-11,-8.2969
2018-01-12,0.0
2018-01-17,0.0
2018-01-18,0.0
2018-01-19,-0.4762
2018-01-25,10.0478
2018-02-07,-10.4348
2018-02-08,0.0
2018-02-09,-0.4854
2018-02-15,-2.439
2018-02-16,-2.5
2018-02-20,1.0256
2018-02-21,-1.5228000000000002
2018-02-23,3.0928
2018-04-30,-5.0
2018-05-02,0.0
2018-05-03,-21.0526
2018-05-08,0.0
2018-05-10,-16.6667
2018-05-11,0.0
2018-05-14,20.0
2018-05-15,-16.6667
2018-05-16,-19.2
2018-05-17,48.5149
2018-05-18,23.3333
2018-05-21,-4.8649000000000004
2018-05-22,5.1136
2018-06-07,-21.6216
2018-06-08,0.0
2018-06-11,-13.7931
2018-06-12,0.0
2018-06-19,-12.0
2018-07-11,-9.0909
2018-07-16,40.0
2018-07-25,-28.5714
2018-07-31,0.0
2018-08-09,-20.0
2018-08-10,0.0
2018-08-20,-25.0
2018-08-23,-8.3333
2018-08-27,0.0
2018-09-07,-27.2727
2018-09-12,0.0
2018-09-14,20.0
2018-10-03,-58.3333
2018-10-04,65.0
2018-10-26,-24.2424
2018-10-30,-0.4
2018-11-26,68.6747
2018-12-11,31.0714
2018-12-12,-90.9173
2018-12-13,980.0
2019-01-02,-81.4815
2019-01-03,180.0
2019-03-25,-46.4286
2019-03-28,0.0
2020-01-13,-60.0
2020-01-21,0.0
2020-03-02,-50.0
2020-04-23,0.0
