ticker,LYL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-10-23,-15.8742
2017-10-24,-9.3913
2017-10-25,0.9443
2017-10-26,5.2441
2017-10-27,-17.7958
2017-10-30,-23.2967
2017-10-31,-1.0029
2017-11-01,-21.2735
2017-11-02,-7.171
2017-11-03,10.1012
2017-11-06,2.6978
2017-11-07,14.711
2017-11-08,14.6565
2017-11-09,-7.9893
2017-11-10,-8.8278
2017-11-13,-1.4285999999999999
2017-11-14,-1.1272
2017-11-15,-3.9088000000000003
2017-11-16,-0.8475
2017-11-17,1.8803
2017-11-20,1.1745
2017-11-21,-4.4776
2017-11-22,-4.6875
2017-11-24,-0.1821
2017-11-27,-0.5474
2017-11-28,-6.6055
2017-11-29,-4.7151
2017-11-30,0.8247
2017-12-01,-5.317
2017-12-04,-4.9676
2017-12-05,1.3636
2017-12-06,-0.4484
2017-12-07,-7.1171
2017-12-08,1.3578999999999999
2017-12-11,-2.6316
2017-12-12,1.9656
2017-12-13,1.2048
2017-12-14,11.1905
2017-12-15,4.4968
2017-12-18,10.2459
2017-12-19,-6.5056
2017-12-20,0.5964
2017-12-21,1.3834
2017-12-22,-1.9493
2017-12-26,-4.3738
2017-12-27,-4.158
2017-12-28,0.6508
2017-12-29,-6.0345
2018-01-02,4.8165
2018-01-03,-2.6258
2018-01-04,-2.6966
2018-01-05,8.545
2018-01-08,24.0426
2018-01-09,0.6861
2018-01-10,8.6882
2018-01-11,-1.5674000000000001
2018-01-12,-14.9697
2018-01-16,3.1855
2018-01-17,-4.7695
2018-01-18,-1.0901
2018-01-19,-3.0829
2018-01-22,-3.7773
2018-01-23,0.2066
2018-01-24,3.299
2018-01-25,-8.5828
2018-01-26,0.4367
2018-01-29,1.3043
2018-01-30,-0.6438
2018-01-31,1.0151
2018-02-01,2.6299
2018-02-02,-3.75
2018-02-05,-0.6494
2018-02-06,-11.9826
2018-02-07,-2.2277
2018-02-08,4.8101
2018-02-09,-5.314
2018-02-12,-1.0204
2018-02-13,20.6186
2018-02-14,-1.0684
2018-02-15,0.0
2018-02-16,-6.6955
2018-02-20,0.0
2018-02-21,-3.2407
2018-02-22,1.2201
2018-02-23,1.6072
2018-02-26,-2.5355
2018-02-27,-11.6945
2018-02-28,3.7838000000000003
2018-03-01,-16.6667
2018-03-02,7.1875
2018-03-05,12.5364
2018-03-06,2.3316
2018-03-07,1.2658
2018-03-08,-3.25
2018-03-09,3.6176
2018-03-12,0.2494
2018-03-13,1.7412999999999998
