ticker,ARTNA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-5.5556
2000-01-04,2.521
2000-01-05,0.0
2000-01-06,0.0
2000-01-07,0.0
2000-01-10,0.0
2000-01-11,0.0
2000-01-12,1.2295
2000-01-13,-0.2024
2000-01-14,0.2028
2000-01-18,-0.2024
2000-01-19,-0.2028
2000-01-21,-0.4065
2000-01-24,2.449
2000-01-25,-1.1952
2000-01-26,1.6129
2000-01-27,-2.3810000000000002
2000-01-28,0.813
2000-01-31,-0.4032
2000-02-01,0.0
2000-02-02,-2.4291
2000-02-03,-3.7344
2000-02-04,-2.3707
2000-02-07,-3.6821
2000-02-08,-3.2407
2000-02-09,10.945
2000-02-10,-10.2965
2000-02-11,0.0
2000-02-15,0.0
2000-02-16,2.8846
2000-02-17,-2.8037
2000-02-18,-5.7692
2000-02-22,0.0
2000-02-23,1.0204
2000-02-24,-1.5152
2000-02-25,0.5128
2000-02-29,0.0
2000-03-01,-2.0408
2000-03-02,2.0833
2000-03-03,-1.0204
2000-03-06,-1.0309
2000-03-07,0.0
2000-03-09,0.0
2000-03-10,-0.5208
2000-03-13,-4.1885
2000-03-14,-8.1967
2000-03-15,14.2857
2000-03-16,-9.375
2000-03-17,9.7701
2000-03-20,-1.5707
2000-03-21,4.2553
2000-03-22,0.7653
2000-03-23,-0.2532
2000-03-24,-1.5228000000000002
2000-03-27,0.0
2000-03-28,-3.0928
2000-03-29,-5.8511
2000-03-30,0.565
2000-03-31,3.3708
2000-04-03,-1.087
2000-04-04,14.2857
2000-04-05,-9.6154
2000-04-06,2.1277
2000-04-07,-4.1667
2000-04-10,0.0
2000-04-11,1.087
2000-04-12,-3.7634
2000-04-13,0.5587
2000-04-17,2.2222
2000-04-18,2.1739
2000-04-19,-2.1277
2000-04-20,3.2609
2000-04-24,5.2632
2000-04-25,4.0
2000-04-26,-2.8846
2000-04-28,-0.9901
2000-05-02,-2.0
2000-05-03,1.0204
2000-05-04,-7.0707
2000-05-08,3.3696
2000-05-09,-5.8511
2000-05-10,1.6949
2000-05-11,1.1111
2000-05-12,0.0
2000-05-15,-0.4808
2000-05-16,6.0041
2000-05-18,-4.1667
2000-05-19,0.5435
2000-05-22,0.0
2000-05-23,1.3514
2000-05-24,1.3333
2000-05-25,0.0
2000-05-26,-3.1579
2000-05-30,0.0
2000-05-31,0.5435
2000-06-01,1.0811
2000-06-02,1.6042999999999998
2000-06-05,-1.0526
2000-06-06,0.0
2000-06-07,2.1277
