ticker,FPVD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-07-06,100.0
2015-07-17,150.0
2015-07-20,140.0
2015-07-21,299.3333
2015-07-22,-40.1085
2015-07-23,-16.0279
2015-07-24,12.0332
2015-07-27,12.963
2015-07-28,-14.623
2015-07-29,-14.3625
2015-07-30,-21.5247
2015-07-31,-48.5714
2015-08-03,32.2222
2015-08-04,-0.8403
2015-08-05,-15.2542
2015-08-06,-10.4
2015-08-07,-10.7143
2015-08-10,0.25
2015-08-11,-37.6559
2015-08-12,-10.0
2015-08-14,0.0
2015-08-17,-11.1111
2015-08-18,2.5
2015-08-19,-20.0
2015-08-20,3.6585
2015-08-21,2.3529
2015-08-24,3.4483
2015-08-25,0.0
2015-08-26,-5.5556
2015-08-27,1.1764999999999999
2015-08-31,6.9767
2015-09-01,0.5435
2015-09-02,2.7027
2015-09-03,-0.5263
2015-09-04,0.5291
2015-09-08,2.1053
2015-09-09,0.5155
2015-09-10,-2.5641
2015-09-11,0.0
2015-09-14,-0.5263
2015-09-16,3.1746
2015-09-17,-1.7436
2015-09-18,2.8184
2015-09-21,3.5533
2015-09-22,0.9804
2015-09-23,2.6699
2015-09-24,0.7092
2015-09-25,1.4085
2015-09-28,0.0
2015-09-29,1.8519
2015-09-30,0.4545
2015-10-01,-51.5837
2015-10-02,10.2804
2015-10-05,8.4746
2015-10-06,-0.7813
2015-10-07,2.3622
2015-10-08,4.6154
2015-10-09,-5.8824
2015-10-12,5.4688
2015-10-13,3.7037
2015-10-14,4.2857
2015-10-15,5.4795
2015-10-16,4.5455
2015-10-19,5.5901
2015-10-20,-7.6471
2015-10-21,-17.8344
2015-10-22,6.2016
2015-10-23,2.1898
2015-10-26,4.2857
2015-10-27,-6.1644
2015-10-28,5.1095
2015-10-29,0.0
2015-10-30,2.7778
2015-11-02,-16.8919
2015-11-03,4.065
2015-11-04,-6.25
2015-11-05,-6.6667
2015-11-06,1.7856999999999998
2015-11-09,1.7544
2015-11-10,2.5862
2015-11-11,4.2017
2015-11-12,-0.4032
2015-11-13,-2.0243
2015-11-16,3.3058
2015-11-17,14.4
2015-11-18,11.8881
2015-11-19,4.375
2015-11-20,1.1976
2015-11-23,3.5503
2015-11-24,-10.857099999999999
2015-11-25,-3.8462
2015-11-27,-3.3333
2015-11-30,0.6897
2015-12-01,1.3699
2015-12-02,4.7297
2015-12-03,1.6129
2015-12-04,-20.0
2015-12-07,0.7937
2015-12-08,-3.1496
2015-12-09,-0.813
2015-12-10,-9.0164
