ticker,LNGB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-08-25,87.5
2015-08-26,73.3333
2015-08-27,-23.0769
2015-08-28,25.0
2015-08-31,2.8
2015-09-01,0.0
2015-09-08,-22.179
2015-09-09,49.0
2015-09-10,19.4631
2015-09-11,6.7416
2015-09-14,2.6316
2015-09-15,28.2051
2015-09-16,-4.0
2015-09-18,-1.0417
2015-09-21,-1.0526
2015-09-22,-0.4255
2015-09-24,-25.2137
2015-09-28,-2.5714
2015-09-29,17.0088
2015-10-02,11.5288
2015-10-09,-9.887599999999999
2015-10-12,24.6883
2015-10-16,-4.2
2015-11-16,-26.9311
2015-11-27,8.5714
2015-11-30,1.3158
2015-12-01,0.7792
2015-12-02,3.0928
2015-12-03,12.5
2015-12-29,-11.1111
2016-01-07,2.5
2016-01-08,0.7317
2016-01-11,3.632
2016-01-12,3.271
2016-01-13,-2.9412000000000003
2016-01-14,4.8951
2016-01-15,-1.7778
2016-01-19,4.0724
2016-01-20,52.1739
2016-01-22,-7.1429
2016-02-11,-36.9231
2016-02-17,92.6829
2016-04-28,-30.3797
2016-05-09,10.9091
2016-06-06,0.0
2016-06-07,1.6393
2016-06-08,-1.6129
2016-06-09,-1.6393
2016-06-13,2.05
2016-06-14,-0.3756
2016-06-15,0.1639
2016-06-16,-0.1637
2016-06-17,0.0
2016-06-20,0.8197
2016-06-21,0.0
2016-06-22,0.0
2016-06-23,0.0
2016-06-27,0.813
2016-06-28,1.6129
2016-06-29,-1.5873
2016-06-30,-0.371
2016-07-01,0.3723
2016-07-05,-0.3226
2016-07-06,0.3236
2016-07-07,4.8387
2016-07-08,-0.3077
2016-07-11,-4.6296
2016-07-13,0.3236
2016-07-14,0.0
2016-07-15,-0.3226
2016-07-21,-1.2945
2016-07-22,0.1639
2016-07-25,0.0
2016-07-26,0.1637
2016-07-28,0.0
2016-07-29,2.1242
2016-08-03,-0.8
2016-08-26,0.8065
2016-10-12,4.0
2016-10-18,-26.9231
2016-12-01,3.1579
2016-12-02,5.7143
2017-05-26,-13.1274
2017-09-13,-11.1111
2018-01-16,62.5
2018-03-01,0.0
2018-03-02,-53.8462
2018-03-05,66.6667
2019-04-05,22.0
2019-04-09,-2.459
2019-04-11,2.521
2020-02-25,-17.7049
2020-07-07,-0.3984
