ticker,VTGDF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-06-11,-0.8054
2007-06-12,0.0
2007-06-13,0.0
2007-06-14,0.0
2007-06-15,-0.1353
2007-06-18,0.271
2007-06-19,0.0
2007-06-20,1.3514
2007-06-21,-1.2
2007-06-22,0.8097
2007-06-25,0.2677
2007-06-26,0.0
2007-06-27,0.0
2007-06-28,0.1335
2007-06-29,1.3333
2007-07-02,-1.3158
2007-07-03,-0.1333
2007-07-06,0.1335
2007-07-09,0.1333
2007-07-10,0.0
2007-07-12,0.0
2007-07-13,0.0
2007-07-16,1.3316
2007-07-17,1.1827
2007-07-18,-2.4675000000000002
2007-07-20,0.1332
2007-07-24,-0.133
2007-07-25,0.1332
2007-07-27,1.9947
2007-07-30,-1.9557
2007-07-31,2.3936
2007-08-02,0.0
2007-08-03,-2.3377
2007-08-08,0.133
2007-08-09,0.0
2007-08-10,0.3984
2007-08-13,-1.3228
2007-08-14,-0.8043
2007-08-15,-0.5405
2007-08-16,-1.087
2007-08-23,4.1209
2007-08-24,0.7916
2007-08-27,-1.3089
2007-08-30,-0.5305
2007-08-31,0.6667
2007-09-04,-0.6623
2007-09-05,0.0
2007-09-06,0.1333
2007-09-07,-0.2663
2007-09-10,0.1335
2007-09-11,1.3333
2007-09-12,-1.0526
2007-09-13,0.0
2007-09-14,0.3989
2007-09-17,-0.3974
2007-09-18,-0.266
2007-09-19,-0.2667
2007-09-20,0.5348
2007-09-24,0.0
2007-09-25,-0.3989
2007-09-26,0.0
2007-09-27,0.1335
2007-09-28,0.1333
2007-10-01,0.9321
2007-10-03,-1.0554
2007-10-04,0.0
2007-10-05,0.1333
2007-10-08,0.0
2007-10-09,0.0
2007-10-10,0.6658
2007-10-11,-0.5291
2007-10-12,-0.266
2007-10-15,0.0
2007-10-16,0.0
2007-10-17,0.0
2007-10-18,1.0667
2007-10-23,-0.9235
2007-10-24,-0.1332
2007-10-25,0.1333
2007-10-26,0.2663
2007-10-29,0.1328
2007-10-30,0.3979
2007-10-31,0.3963
2007-11-01,-1.1842
2007-11-02,0.2663
2007-11-06,0.3984
2007-11-07,0.5291
2007-11-12,-0.6579
2007-11-13,0.6623
2007-11-14,-1.3158
2007-11-15,0.1333
2007-11-16,0.1332
2007-11-19,0.3989
2007-11-27,-0.5298
2007-11-28,-0.1332
2007-11-29,-0.2667
2007-12-03,0.2674
2007-12-04,-0.2667
2007-12-05,-0.4011
2007-12-06,1.2081
2007-12-07,-0.5305
2007-12-10,0.0
