ticker,RGLS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-10-04,5.0
2012-10-05,0.0
2012-10-08,5.7143
2012-10-09,-1.3514
2012-10-10,-5.2511
2012-10-11,0.0
2012-10-12,2.1687
2012-10-15,0.0
2012-10-16,-0.9434
2012-10-17,-0.2381
2012-10-18,6.4439
2012-10-19,5.8296
2012-10-22,1.6949
2012-10-23,0.8333
2012-10-24,5.7851
2012-10-25,0.3906
2012-10-26,-0.552
2012-10-31,-6.4877
2012-11-01,4.3933
2012-11-02,-4.6067
2012-11-05,5.6695
2012-11-06,-0.5964
2012-11-07,-0.6
2012-11-08,-4.4266
2012-11-09,3.3684
2012-11-12,-0.2037
2012-11-13,-4.0816
2012-11-14,3.617
2012-11-15,-2.6694
2012-11-16,-1.0549
2012-11-19,-1.0661
2012-11-20,-6.25
2012-11-21,3.6782
2012-11-23,6.2084
2012-11-26,-1.8789
2012-11-27,0.8511
2012-11-28,-8.4388
2012-11-29,9.447
2012-11-30,0.0
2012-12-03,1.2631999999999999
2012-12-04,-2.4948
2012-12-05,-1.919
2012-12-06,2.1739
2012-12-07,-4.8936
2012-12-10,3.8031
2012-12-11,-4.3103
2012-12-12,3.6036
2012-12-13,0.0
2012-12-14,-5.8696
2012-12-17,4.388
2012-12-18,9.5133
2012-12-19,4.0404
2012-12-20,0.9709
2012-12-21,0.0
2012-12-24,-0.9615
2012-12-26,0.5825
2012-12-27,10.4247
2012-12-28,4.8951
2012-12-31,5.0
2013-01-02,1.4285999999999999
2013-01-03,-1.8779
2013-01-04,-4.9442
2013-01-07,-0.8389
2013-01-08,2.5381
2013-01-09,-1.1551
2013-01-10,-5.1753
2013-01-11,-9.1549
2013-01-14,-8.3333
2013-01-15,2.537
2013-01-16,4.3299
2013-01-17,4.5455
2013-01-18,1.8904
2013-01-22,3.3395
2013-01-23,4.1293
2013-01-24,1.2069
2013-01-25,-2.0443
2013-01-28,-0.1739
2013-01-29,1.7422
2013-01-30,2.3973
2013-01-31,0.5017
2013-02-01,-0.3328
2013-02-04,-3.005
2013-02-05,3.4423
2013-02-06,-0.1664
2013-02-07,-6.3333
2013-02-08,0.7117
2013-02-11,-0.53
2013-02-12,-2.4867
2013-02-13,2.9144
2013-02-14,1.0619
2013-02-15,-5.4291
2013-02-19,0.7407
2013-02-20,-1.6543999999999999
2013-02-21,-2.4299
2013-02-22,1.5326
2013-02-25,-9.0566
2013-02-26,6.639
2013-02-27,-3.3074
2013-02-28,3.6217
