ticker,KOSK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-09-14,0.0
2004-10-05,-20.0
2004-10-13,-6.25
2004-10-15,-13.3333
2004-10-22,15.3846
2004-10-26,6.6667
2004-10-27,12.5
2004-10-28,11.1111
2004-11-01,10.0
2004-11-02,13.6364
2004-11-03,0.0
2004-11-19,12.0
2004-11-22,5.7143
2004-11-23,1.3514
2004-11-24,6.6667
2004-11-26,0.0
2004-11-29,-12.5
2004-11-30,-10.7143
2004-12-01,4.0
2004-12-02,-46.1538
2004-12-03,5.7143
2004-12-06,-31.0811
2004-12-07,25.4902
2004-12-08,0.0
2004-12-09,0.0
2004-12-10,-15.625
2004-12-13,3.7037
2004-12-14,7.1429
2004-12-15,-11.6667
2004-12-16,7.5472
2004-12-17,8.7719
2004-12-20,-19.3548
2004-12-21,8.0
2004-12-23,11.1111
2004-12-27,0.0
2004-12-28,0.0
2004-12-29,-10.0
2004-12-30,31.4815
2004-12-31,-4.2254
2005-01-03,10.2941
2005-01-04,-5.3333
2005-01-05,-8.4507
2005-01-06,10.7692
2005-01-07,2.6389
2005-01-10,-5.2774
2005-01-11,0.0
2005-01-13,-28.5714
2005-01-14,-30.0
2005-01-18,42.8571
2005-01-20,-40.0
2005-01-21,-33.3333
2005-01-26,100.0
2005-01-27,-95.0
2005-02-02,1675.0
2005-02-03,-57.7465
2005-02-07,-66.6667
2005-02-08,-40.0
2005-02-09,0.0
2005-02-22,-73.3333
2005-02-23,0.0
2005-02-24,150.0
2005-02-25,-50.0
2005-03-02,0.0
2005-03-04,50.0
2005-03-07,33.3333
2005-03-08,50.0
2005-03-09,0.0
2005-03-11,0.0
2005-03-14,0.0
2005-03-15,0.0
2005-03-16,66.6667
2005-03-17,-10.0
2005-03-22,0.0
2005-03-23,-11.1111
2005-03-24,0.0
2005-03-31,25.0
2005-04-04,-47.75
2005-04-07,79.9043
2005-04-11,-14.8936
2005-04-12,-25.0
2005-04-15,-50.0
2005-04-21,0.0
2005-04-22,-20.0
2005-04-25,-16.6667
2005-04-26,1.25
2005-04-28,-1.2346
2005-04-29,200.0
2005-05-03,-50.0
2005-05-04,-32.5
2005-05-06,245.679
2005-05-09,-14.2857
2005-05-10,-66.6667
2005-05-11,0.0
2005-05-12,3.125
2005-05-13,239.3939
2005-05-16,-14.2857
2005-05-18,16.6667
2005-05-25,-70.8929
2005-06-07,-1.8405
2005-06-24,150.0
2005-06-28,-44.0
2005-07-06,257.1429
2005-07-07,-40.0
2005-07-14,-66.6667
