ticker,EMINF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-09-14,7.9365
2012-11-27,-36.7647
2012-12-12,2.7907
2013-10-29,1.81
2014-05-20,-51.1111
2014-05-23,-4.5455
2014-06-12,21.9048
2014-07-14,-21.875
2014-07-16,4.5
2014-10-17,-37.558
2015-02-26,30.7692
2015-03-30,0.0
2015-12-29,-23.5294
2016-01-28,-5.8654
2016-03-01,14.1471
2017-01-03,-21.2528
2017-07-10,31.8182
2017-10-31,-13.7931
2017-11-01,0.0
