ticker,CONE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-01-18,11.5789
2013-01-22,4.3396
2013-01-23,2.17
2013-01-24,-2.6106
2013-01-25,-0.6815
2013-01-28,-1.6468
2013-01-29,-0.4651
2013-01-30,-1.4953
2013-01-31,0.4269
2013-02-01,2.4563
2013-02-04,0.5994
2013-02-05,1.9247999999999998
2013-02-06,1.1691
2013-02-07,-1.3778000000000001
2013-02-08,1.8477000000000001
2013-02-11,0.3097
2013-02-12,-4.2347
2013-02-13,-0.5988
2013-02-14,2.456
2013-02-15,1.2664
2013-02-19,-0.4466
2013-02-20,-1.2562
2013-02-21,-1.0904
2013-02-22,0.735
2013-02-25,-0.456
2013-02-26,-0.4581
2013-02-27,-2.485
2013-02-28,0.5663
2013-03-01,1.1732
2013-03-04,2.551
2013-03-05,4.161
2013-03-06,-0.1303
2013-03-07,-0.9565
2013-03-08,-0.7024
2013-03-11,-1.4147
2013-03-12,-0.6726
2013-03-13,-0.9481
2013-03-14,-0.4102
2013-03-15,-1.6476
2013-03-18,1.1633
2013-03-19,0.4692
2013-03-20,1.0439
2013-03-21,0.2266
2013-03-22,3.7975
2013-03-25,-0.3484
2013-03-26,0.6556
2013-03-27,-1.6178
2013-03-28,1.5110999999999999
2013-04-01,1.4447999999999999
2013-04-02,1.9853
2013-04-03,-1.3965
2013-04-04,0.8584
2013-04-05,0.6809
2013-04-08,-1.0144
2013-04-09,-0.1281
2013-04-10,1.4536
2013-04-11,-0.0843
2013-04-12,0.9279
2013-04-15,-2.5909
2013-04-16,2.4625
2013-04-17,-1.2728
2013-04-18,1.6964000000000001
2013-04-19,-0.2085
2013-04-22,0.0836
2013-04-23,0.5428
2013-04-24,-0.1246
2013-04-25,-1.6632
2013-04-26,0.8457
2013-04-29,1.5933000000000002
2013-04-30,-0.9905
2013-05-01,-1.2505
2013-05-02,1.7307000000000001
2013-05-03,0.0
2013-05-06,-1.1618
2013-05-07,-0.4618
2013-05-08,-0.2531
2013-05-09,-3.8478
2013-05-10,-0.3518
2013-05-13,-0.0441
2013-05-14,-1.1479
2013-05-15,0.4913
2013-05-16,-0.4
2013-05-17,-0.8032
2013-05-20,-0.7647
2013-05-21,-0.5893
2013-05-22,-2.2800000000000002
2013-05-23,2.0065
2013-05-24,0.183
2013-05-28,0.9589
2013-05-29,-1.0855
2013-05-30,0.3201
2013-05-31,-1.1851
2013-06-03,-1.8911
2013-06-04,-2.3037
2013-06-05,2.0212
2013-06-06,0.7547
